tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,5,,,,,4,10,64,,
0,note_on,,,,,0,0,5,,,,,4,,,46,107
0,midi_port,,,,,0,1,6,,,0,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,program_change,,,,,0,0,6,,,,68,5,,,,
0,control_change,,,,,0,0,6,,,,,5,7,75,,
0,control_change,,,,,0,0,6,,,,,5,10,70,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,program_change,,,,,0,0,7,,,,68,6,,,,
0,control_change,,,,,0,0,7,,,,,6,7,75,,
0,control_change,,,,,0,0,7,,,,,6,10,60,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,
0,control_change,,,,,0,0,5,,,,,4,7,100,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,program_change,,,,,0,0,5,,,,19,4,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,
0,program_change,,,,,0,0,2,,,,19,1,,,,
0,control_change,,,,,0,0,2,,,,,1,7,100,,
0,control_change,,,,,0,0,2,,,,,1,10,85,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,program_change,,,,,0,0,3,,,,19,2,,,,
0,control_change,,,,,0,0,3,,,,,2,7,100,,
0,control_change,,,,,0,0,3,,,,,2,10,100,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,program_change,,,,,0,0,4,,,,19,3,,,,
0,control_change,,,,,0,0,4,,,,,3,7,100,,
0,control_change,,,,,0,0,4,,,,,3,10,30,,
0,note_on,,,,,0,0,4,,,,,3,,,46,107
0,track_name,,,,,0,1,18,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,program_change,,,,,0,0,8,,,,48,7,,,,
0,control_change,,,,,0,0,8,,,,,7,10,20,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,end_of_track,,,,,0,1,13,,,,,,,,,
0,midi_port,,,,,0,1,14,,,0,,,,,,
0,track_name,,,,,0,1,14,,,,,,,,,
0,end_of_track,,,,,0,1,14,,,,,,,,,
0,midi_port,,,,,0,1,15,,,0,,,,,,
0,track_name,,,,,0,1,15,,,,,,,,,
0,end_of_track,,,,,0,1,15,,,,,,,,,
0,midi_port,,,,,0,1,16,,,0,,,,,,
0,track_name,,,,,0,1,16,,,,,,,,,
0,end_of_track,,,,,0,1,16,,,,,,,,,
0,midi_port,,,,,0,1,17,,,0,,,,,,
0,track_name,,,,,0,1,17,,,,,,,,,
0,end_of_track,,,,,0,1,17,,,,,,,,,
0,midi_port,,,,,0,1,18,,,0,,,,,,
0,midi_port,,,,,0,1,13,,,0,,,,,,
0,control_change,,,,,0,0,8,,,,,7,7,90,,
