tick,type,tempo,time,meta,track,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,set_tempo,1000000,0,1,0,,,,,,,,,,,,
0,program_change,,0,0,6,,,,,,,48,11,,,,
0,control_change,,0,0,6,,,,,,,,11,7,127,,
0,control_change,,0,0,6,,,,,,,,11,10,104,,
0,key_signature,,0,1,6,Eb,,,,,,,,,,,
0,time_signature,,0,1,6,,1,4,24,8,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,
0,program_change,,0,0,7,,,,,,,41,12,,,,
0,control_change,,0,0,7,,,,,,,,12,7,127,,
0,control_change,,0,0,7,,,,,,,,12,10,104,,
0,key_signature,,0,1,7,Eb,,,,,,,,,,,
0,time_signature,,0,1,7,,1,4,24,8,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,
0,track_name,,0,1,18,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,
0,program_change,,0,0,8,,,,,,,42,13,,,,
0,control_change,,0,0,8,,,,,,,,13,7,127,,
0,control_change,,0,0,8,,,,,,,,13,10,24,,
0,key_signature,,0,1,8,Eb,,,,,,,,,,,
0,time_signature,,0,1,8,,1,4,24,8,,,,,,,
0,note_on,,0,0,8,,,,,,,,13,,,60,92
0,track_name,,0,1,8,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,
0,program_change,,0,0,9,,,,,,,43,14,,,,
0,track_name,,0,1,5,,,,,,,,,,,,
0,key_signature,,0,1,5,Eb,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,,,1,7,127,,
0,control_change,,0,0,2,,,,,,,,1,10,104,,
0,key_signature,,0,1,2,Eb,,,,,,,,,,,
0,time_signature,,0,1,2,,1,4,24,8,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,
0,program_change,,0,0,3,,,,,,,52,2,,,,
0,control_change,,0,0,3,,,,,,,,2,7,127,,
0,control_change,,0,0,3,,,,,,,,2,10,24,,
0,key_signature,,0,1,3,Eb,,,,,,,,,,,
0,time_signature,,0,1,3,,1,4,24,8,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,
0,program_change,,0,0,4,,,,,,,52,3,,,,
0,control_change,,0,0,4,,,,,,,,3,7,127,,
0,control_change,,0,0,4,,,,,,,,3,10,104,,
0,key_signature,,0,1,4,Eb,,,,,,,,,,,
0,time_signature,,0,1,4,,1,4,24,8,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,
0,program_change,,0,0,5,,,,,,,48,10,,,,
