tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,,6,0,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,1,,,,,,,,,0,91,96,,
0,control_change,0,0,1,,,,,,,,,0,93,85,,
0,control_change,0,0,1,,,,,,,,,0,10,77,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,,55,110
0,control_change,0,0,2,,,,,,,,,1,10,52,,
0,control_change,0,0,2,,,,,,,,,1,93,85,,
0,control_change,0,0,2,,,,,,,,,1,91,92,,
0,program_change,0,0,2,,,,,,,,6,1,,,,
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
0,key_signature,0,1,0,,Bb,,,,,,,,,,,
0,set_tempo,0,1,0,508474,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,text,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
96,note_on,96,0,2,,,,,,,,,1,,,58,110
96,set_tempo,96,1,0,504201,,,,,,,,,,,,
192,note_on,96,0,2,,,,,,,,,1,,,62,110
192,set_tempo,96,1,0,500000,,,,,,,,,,,,
286,note_on,94,0,2,,,,,,,,,1,,,55,0
286,note_on,0,0,2,,,,,,,,,1,,,62,0
288,note_on,2,0,2,,,,,,,,,1,,,67,110
382,note_on,94,0,2,,,,,,,,,1,,,58,0
430,note_on,48,0,2,,,,,,,,,1,,,67,0
432,note_on,2,0,2,,,,,,,,,1,,,65,110
478,note_on,46,0,2,,,,,,,,,1,,,65,0
480,note_on,2,0,2,,,,,,,,,1,,,63,110
526,note_on,46,0,2,,,,,,,,,1,,,63,0
528,note_on,2,0,2,,,,,,,,,1,,,62,110
574,note_on,46,0,2,,,,,,,,,1,,,62,0
576,note_on,2,0,2,,,,,,,,,1,,,60,110
622,note_on,46,0,2,,,,,,,,,1,,,60,0
624,note_on,2,0,2,,,,,,,,,1,,,58,110
670,note_on,46,0,2,,,,,,,,,1,,,58,0
672,note_on,2,0,2,,,,,,,,,1,,,57,110
718,note_on,46,0,2,,,,,,,,,1,,,57,0
720,note_on,2,0,2,,,,,,,,,1,,,55,110
766,note_on,46,0,2,,,,,,,,,1,,,55,0
768,note_on,2,0,2,,,,,,,,,1,,,54,110
768,set_tempo,576,1,0,508474,,,,,,,,,,,,
864,note_on,96,0,2,,,,,,,,,1,,,57,110
960,note_on,96,0,2,,,,,,,,,1,,,60,110
960,set_tempo,192,1,0,500000,,,,,,,,,,,,
1054,note_on,94,0,2,,,,,,,,,1,,,54,0
1054,note_on,0,0,2,,,,,,,,,1,,,60,0
