tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,7,127,0,,,
0,control_change,0,0,1,,,,,,,10,73,0,,,
0,control_change,0,0,1,,,,,,,91,50,0,,,
0,control_change,0,0,1,,,,,,,93,0,0,,,
0,program_change,0,0,1,,,,,,,,,0,0,,
0,note_on,0,0,1,,,,,,,,,0,,74,85
0,end_of_track,0,1,6,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,7,127,1,,,
0,control_change,0,0,2,,,,,,,10,54,1,,,
0,control_change,0,0,2,,,,,,,91,50,1,,,
0,control_change,0,0,2,,,,,,,93,0,1,,,
0,program_change,0,0,2,,,,,,,,,1,0,,
0,note_on,0,0,2,,,,,,,,,1,,50,85
0,note_on,0,0,2,,,,,,,,,1,,62,85
0,note_on,0,0,2,,,,,,,,,1,,53,85
0,note_on,0,0,2,,,,,,,,,1,,57,85
0,track_name,0,1,3,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,3,8,12,8,,,,,,,,
4,note_on,4,0,1,,,,,,,,,0,,65,85
100,note_on,96,0,1,,,,,,,,,0,,65,0
112,note_on,12,0,1,,,,,,,,,0,,69,85
120,note_on,0,0,1,,,,,,,,,0,,76,85
120,note_on,120,0,2,,,,,,,,,1,,62,0
120,note_on,8,0,1,,,,,,,,,0,,74,0
176,note_on,56,0,1,,,,,,,,,0,,69,0
236,text,60,1,1,,,,,,,,,,,,
240,note_on,120,0,2,,,,,,,,,1,,50,0
240,note_on,0,0,2,,,,,,,,,1,,53,0
240,note_on,0,0,2,,,,,,,,,1,,57,0
240,note_on,0,0,2,,,,,,,,,1,,52,85
240,note_on,0,0,2,,,,,,,,,1,,55,85
240,text,0,1,1,,,,,,,,,,,,
240,note_on,0,0,1,,,,,,,,,0,,74,85
240,note_on,0,0,1,,,,,,,,,0,,67,85
240,note_on,4,0,1,,,,,,,,,0,,76,0
240,note_on,0,0,2,,,,,,,,,1,,61,85
316,note_on,76,0,1,,,,,,,,,0,,74,0
320,note_on,4,0,1,,,,,,,,,0,,73,85
356,note_on,36,0,1,,,,,,,,,0,,73,0
360,note_on,4,0,1,,,,,,,,,0,,74,85
396,note_on,36,0,1,,,,,,,,,0,,74,0
400,note_on,4,0,1,,,,,,,,,0,,73,85
436,note_on,36,0,1,,,,,,,,,0,,73,0
440,note_on,4,0,1,,,,,,,,,0,,74,85
476,note_on,36,0,1,,,,,,,,,0,,74,0
480,note_on,4,0,1,,,,,,,,,0,,73,85
596,note_on,116,0,1,,,,,,,,,0,,73,0
640,note_on,44,0,1,,,,,,,,,0,,71,85
656,note_on,16,0,1,,,,,,,,,0,,67,0
660,note_on,4,0,1,,,,,,,,,0,,73,85
700,note_on,40,0,1,,,,,,,,,0,,71,0
720,note_on,0,0,1,,,,,,,,,0,,74,85
720,note_on,0,0,1,,,,,,,,,0,,69,85
720,note_on,0,0,1,,,,,,,,,0,,65,85
720,note_on,20,0,1,,,,,,,,,0,,73,0
720,note_on,480,0,2,,,,,,,,,1,,61,0
720,note_on,0,0,2,,,,,,,,,1,,55,0
720,note_on,0,0,2,,,,,,,,,1,,52,0
720,note_on,0,0,2,,,,,,,,,1,,53,85
720,note_on,0,0,2,,,,,,,,,1,,57,85
840,note_on,0,0,1,,,,,,,,,0,,69,0
840,note_on,120,0,1,,,,,,,,,0,,74,0
840,note_on,120,0,2,,,,,,,,,1,,57,0
960,note_on,0,0,1,,,,,,,,,0,,61,85
960,note_on,0,0,2,,,,,,,,,1,,49,85
960,note_on,120,0,2,,,,,,,,,1,,53,0
960,note_on,120,0,1,,,,,,,,,0,,65,0
960,note_on,0,0,1,,,,,,,,,0,,69,85
960,note_on,0,0,2,,,,,,,,,1,,52,85
960,note_on,0,0,2,,,,,,,,,1,,57,85
960,note_on,0,0,1,,,,,,,,,0,,64,85
1200,note_on,0,0,2,,,,,,,,,1,,52,0
1200,note_on,240,0,2,,,,,,,,,1,,57,0
1200,note_on,0,0,2,,,,,,,,,1,,49,0
1200,note_on,0,0,1,,,,,,,,,0,,61,0
1200,note_on,0,0,1,,,,,,,,,0,,64,0
1200,note_on,240,0,1,,,,,,,,,0,,69,0
1440,note_on,0,0,1,,,,,,,,,0,,74,85
