tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,program_change,,,,,0,0,7,,,,43,6,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,
0,control_change,,,,,0,0,6,,,,,5,10,40,,
0,control_change,,,,,0,0,6,,,,,5,7,90,,
0,program_change,,,,,0,0,6,,,,41,5,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,
0,control_change,,,,,0,0,5,,,,,4,10,98,,
0,control_change,,,,,0,0,5,,,,,4,7,90,,
0,program_change,,,,,0,0,5,,,,40,4,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,control_change,,,,,0,0,4,,,,,3,10,20,,
0,control_change,,,,,0,0,4,,,,,3,7,90,,
0,program_change,,,,,0,0,4,,,,40,3,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,control_change,,,,,0,0,3,,,,,2,10,50,,
0,control_change,,,,,0,0,3,,,,,2,7,88,,
0,program_change,,,,,0,0,3,,,,70,2,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,control_change,,,,,0,0,2,,,,,1,10,85,,
0,control_change,,,,,0,0,2,,,,,1,7,75,,
0,program_change,,,,,0,0,2,,,,68,1,,,,
0,control_change,,,,,0,0,7,,,,,6,7,115,,
0,control_change,,,,,0,0,7,,,,,6,10,90,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,key_signature,,,,,0,1,0,F,,,,,,,,
0,set_tempo,,,,,0,1,0,,535714,,,,,,,
0,control_change,,,,,0,0,1,,,,,0,10,45,,
0,program_change,,,,,0,0,1,,,,68,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,control_change,,,,,0,0,1,,,,,0,7,120,,
0,marker,,,,,0,1,0,,,,,,,,,
768,note_on,,,,,768,0,3,,,,,2,,,50,110
800,note_on,,,,,32,0,3,,,,,2,,,50,0
864,note_on,,,,,64,0,3,,,,,2,,,50,110
864,note_on,,,,,864,0,1,,,,,0,,,69,110
864,note_on,,,,,864,0,2,,,,,1,,,65,110
896,note_on,,,,,32,0,2,,,,,1,,,65,0
896,note_on,,,,,32,0,3,,,,,2,,,50,0
896,note_on,,,,,32,0,1,,,,,0,,,69,0
960,note_on,,,,,64,0,2,,,,,1,,,69,110
960,note_on,,,,,64,0,3,,,,,2,,,53,110
960,note_on,,,,,64,0,1,,,,,0,,,74,110
992,note_on,,,,,32,0,1,,,,,0,,,74,0
992,note_on,,,,,32,0,3,,,,,2,,,53,0
992,note_on,,,,,32,0,2,,,,,1,,,69,0
1056,note_on,,,,,64,0,3,,,,,2,,,50,110
1056,note_on,,,,,64,0,2,,,,,1,,,65,110
1056,note_on,,,,,64,0,1,,,,,0,,,74,110
1088,note_on,,,,,32,0,3,,,,,2,,,50,0
1088,note_on,,,,,32,0,2,,,,,1,,,65,0
1088,note_on,,,,,32,0,1,,,,,0,,,74,0
1152,note_on,,,,,64,0,2,,,,,1,,,64,110
1152,note_on,,,,,64,0,1,,,,,0,,,74,110
1152,note_on,,,,,64,0,3,,,,,2,,,55,110
1184,note_on,,,,,32,0,1,,,,,0,,,74,0
1184,note_on,,,,,32,0,3,,,,,2,,,55,0
1200,note_on,,,,,48,0,2,,,,,1,,,64,0
1248,note_on,,,,,64,0,1,,,,,0,,,76,110
1248,note_on,,,,,64,0,3,,,,,2,,,52,110
1280,note_on,,,,,32,0,3,,,,,2,,,52,0
1280,note_on,,,,,32,0,1,,,,,0,,,76,0
1296,note_on,,,,,16,0,1,,,,,0,,,74,110
1328,note_on,,,,,32,0,1,,,,,0,,,74,0
1344,note_on,,,,,64,0,3,,,,,2,,,57,110
1344,note_on,,,,,16,0,1,,,,,0,,,73,110
1344,note_on,,,,,144,0,2,,,,,1,,,64,110
1376,note_on,,,,,32,0,1,,,,,0,,,73,0
1376,note_on,,,,,32,0,3,,,,,2,,,57,0
1392,note_on,,,,,48,0,2,,,,,1,,,64,0
1392,note_on,,,,,16,0,1,,,,,0,,,74,110
1424,note_on,,,,,32,0,1,,,,,0,,,74,0
1440,note_on,,,,,16,0,1,,,,,0,,,76,110
1440,note_on,,,,,64,0,3,,,,,2,,,55,110
1472,note_on,,,,,32,0,1,,,,,0,,,76,0
1472,note_on,,,,,32,0,3,,,,,2,,,55,0
1488,note_on,,,,,16,0,1,,,,,0,,,73,110
1520,note_on,,,,,32,0,1,,,,,0,,,73,0
1536,note_on,,,,,64,0,3,,,,,2,,,53,110
1536,note_on,,,,,16,0,1,,,,,0,,,69,110
1568,note_on,,,,,32,0,3,,,,,2,,,53,0
1568,note_on,,,,,32,0,1,,,,,0,,,69,0
1632,note_on,,,,,240,0,2,,,,,1,,,65,110
1632,note_on,,,,,64,0,1,,,,,0,,,69,110
1632,note_on,,,,,64,0,3,,,,,2,,,50,110
1664,note_on,,,,,32,0,1,,,,,0,,,69,0
1664,note_on,,,,,32,0,3,,,,,2,,,50,0
1664,note_on,,,,,32,0,2,,,,,1,,,65,0
1728,note_on,,,,,64,0,2,,,,,1,,,69,110
