tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,key,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 4, 35, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,12,7,96,,
0,note_on,,0,0,10,,,,,,,,,,,,,,,12,,,55,72
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,7,80,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,10,75,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,11,127,,
0,program_change,,0,0,6,,,,,,,,,,,,,,68,1,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,10,,,,,,,,,,,,,,48,12,,,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,13,11,127,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,13,7,96,,
0,note_on,,0,0,11,,,,,,,,,,,,,,,13,,,52,72
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,15,10,90,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,15,7,96,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,15,11,127,,
0,program_change,,0,0,12,,,,,,,,,,,,,,6,15,,,,
0,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,52,72
0,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,55,72
0,control_change,,0,0,11,,,,,,,,,,,,,,,13,10,96,,
0,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,59,72
0,control_change,,0,0,10,,,,,,,,,,,,,,,12,10,80,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,8,,,,,,,,,,,,,,,10,,,64,72
0,control_change,,0,0,8,,,,,,,,,,,,,,,10,7,96,,
0,program_change,,0,0,8,,,,,,,,,,,,,,48,10,,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,10,10,48,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,10,11,127,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,7,,,,,,,,,,,,,,70,2,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,12,11,127,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,11,127,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,7,96,,
0,note_on,,0,0,7,,,,,,,,,,,,,,,2,,,52,72
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,11,11,127,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,11,10,24,,
0,program_change,,0,0,9,,,,,,,,,,,,,,48,11,,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,11,7,96,,
0,note_on,,0,0,9,,,,,,,,,,,,,,,11,,,59,72
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,10,65,,
0,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,64,72
0,program_change,,0,0,11,,,,,,,,,,,,,,48,13,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
0,program_change,,0,0,5,,,,,,,,,,,,,,68,0,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,11,127,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,10,70,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,7,80,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,5,,,,,,,,,,,,,,,0,,,64,72
0,end_of_track,,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,,,4,4,24,8,,,,,,
0,set_tempo,,0,1,0,,,,,,,,,1000000,,,,,,,,,,
0,key_signature,,0,1,0,,,,,,,,G,,,,,,,,,,,
0,midi_port,,0,1,0,,,,,,,0,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,instrument_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
179,note_on,,179,0,5,,,,,,,,,,,,,,,0,,,64,0
179,note_on,,179,0,10,,,,,,,,,,,,,,,12,,,55,0
179,note_on,,179,0,9,,,,,,,,,,,,,,,11,,,59,0
179,note_on,,179,0,8,,,,,,,,,,,,,,,10,,,64,0
180,note_on,,1,0,9,,,,,,,,,,,,,,,11,,,69,72
180,note_on,,1,0,8,,,,,,,,,,,,,,,10,,,72,72
180,note_on,,1,0,10,,,,,,,,,,,,,,,12,,,57,72
180,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,72,72
239,note_on,,59,0,10,,,,,,,,,,,,,,,12,,,57,0
239,note_on,,239,0,7,,,,,,,,,,,,,,,2,,,52,0
239,note_on,,59,0,5,,,,,,,,,,,,,,,0,,,72,0
239,note_on,,59,0,9,,,,,,,,,,,,,,,11,,,69,0
239,note_on,,239,0,11,,,,,,,,,,,,,,,13,,,52,0
239,note_on,,59,0,8,,,,,,,,,,,,,,,10,,,72,0
239,note_on,,239,0,12,,,,,,,,,,,,,,,15,,,52,0
239,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,55,0
239,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,59,0
239,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,64,0
240,note_on,,1,0,9,,,,,,,,,,,,,,,11,,,67,72
240,note_on,,1,0,10,,,,,,,,,,,,,,,12,,,59,72
240,note_on,,1,0,8,,,,,,,,,,,,,,,10,,,71,72
240,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,71,72
419,note_on,,179,0,9,,,,,,,,,,,,,,,11,,,67,0
419,note_on,,179,0,10,,,,,,,,,,,,,,,12,,,59,0
419,note_on,,179,0,5,,,,,,,,,,,,,,,0,,,71,0
419,note_on,,179,0,8,,,,,,,,,,,,,,,10,,,71,0
420,note_on,,1,0,9,,,,,,,,,,,,,,,11,,,66,72
420,note_on,,1,0,8,,,,,,,,,,,,,,,10,,,69,72
420,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,69,72
420,note_on,,1,0,10,,,,,,,,,,,,,,,12,,,59,72
479,note_on,,59,0,5,,,,,,,,,,,,,,,0,,,69,0
479,note_on,,59,0,9,,,,,,,,,,,,,,,11,,,66,0
479,note_on,,59,0,10,,,,,,,,,,,,,,,12,,,59,0
479,note_on,,59,0,8,,,,,,,,,,,,,,,10,,,69,0
480,note_on,,1,0,10,,,,,,,,,,,,,,,12,,,59,72
480,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,54,72
480,note_on,,1,0,9,,,,,,,,,,,,,,,11,,,66,72
480,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,75,72
480,note_on,,241,0,12,,,,,,,,,,,,,,,15,,,66,72
480,note_on,,241,0,7,,,,,,,,,,,,,,,2,,,47,72
480,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,63,72
480,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,59,72
480,note_on,,241,0,11,,,,,,,,,,,,,,,13,,,47,72
480,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,47,72
480,note_on,,1,0,8,,,,,,,,,,,,,,,10,,,75,72
659,note_on,,179,0,8,,,,,,,,,,,,,,,10,,,75,0
659,note_on,,179,0,11,,,,,,,,,,,,,,,13,,,47,0
659,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,59,0
659,note_on,,179,0,10,,,,,,,,,,,,,,,12,,,59,0
659,note_on,,179,0,7,,,,,,,,,,,,,,,2,,,47,0
659,note_on,,179,0,12,,,,,,,,,,,,,,,15,,,66,0
659,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,47,0
659,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,54,0
659,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,63,0
659,note_on,,179,0,5,,,,,,,,,,,,,,,0,,,75,0
659,note_on,,179,0,9,,,,,,,,,,,,,,,11,,,66,0
660,note_on,,1,0,8,,,,,,,,,,,,,,,10,,,73,72
660,note_on,,1,0,7,,,,,,,,,,,,,,,2,,,55,72
660,note_on,,1,0,12,,,,,,,,,,,,,,,15,,,64,72
660,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,59,72
660,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,55,72
660,note_on,,1,0,11,,,,,,,,,,,,,,,13,,,55,72
660,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,73,72
660,note_on,,1,0,10,,,,,,,,,,,,,,,12,,,71,72
660,note_on,,1,0,9,,,,,,,,,,,,,,,11,,,64,72
689,note_on,,29,0,5,,,,,,,,,,,,,,,0,,,73,0
689,note_on,,29,0,8,,,,,,,,,,,,,,,10,,,73,0
690,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,71,72
690,note_on,,1,0,8,,,,,,,,,,,,,,,10,,,71,72
719,note_on,,59,0,9,,,,,,,,,,,,,,,11,,,64,0
719,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,59,0
719,note_on,,59,0,12,,,,,,,,,,,,,,,15,,,64,0
719,note_on,,59,0,7,,,,,,,,,,,,,,,2,,,55,0
719,note_on,,59,0,10,,,,,,,,,,,,,,,12,,,71,0
719,note_on,,29,0,5,,,,,,,,,,,,,,,0,,,71,0
719,note_on,,29,0,8,,,,,,,,,,,,,,,10,,,71,0
719,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,55,0
719,note_on,,59,0,11,,,,,,,,,,,,,,,13,,,55,0
720,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,54,72
720,note_on,,1,0,10,,,,,,,,,,,,,,,12,,,71,72
720,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,79,72
720,note_on,,1,0,7,,,,,,,,,,,,,,,2,,,54,72
720,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,71,72
720,note_on,,1,0,12,,,,,,,,,,,,,,,15,,,55,72
720,note_on,,1,0,11,,,,,,,,,,,,,,,13,,,54,72
720,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,64,72
720,note_on,,1,0,9,,,,,,,,,,,,,,,11,,,71,72
720,note_on,,1,0,8,,,,,,,,,,,,,,,10,,,79,72
899,note_on,,179,0,12,,,,,,,,,,,,,,,15,,,54,0
899,note_on,,179,0,10,,,,,,,,,,,,,,,12,,,71,0
899,note_on,,179,0,9,,,,,,,,,,,,,,,11,,,71,0
899,note_on,,179,0,8,,,,,,,,,,,,,,,10,,,79,0
899,note_on,,179,0,7,,,,,,,,,,,,,,,2,,,54,0
899,note_on,,179,0,11,,,,,,,,,,,,,,,13,,,54,0
899,note_on,,179,0,5,,,,,,,,,,,,,,,0,,,79,0
900,note_on,,1,0,11,,,,,,,,,,,,,,,13,,,52,72
900,note_on,,1,0,7,,,,,,,,,,,,,,,2,,,52,72
900,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,79,72
900,note_on,,1,0,8,,,,,,,,,,,,,,,10,,,79,72
900,note_on,,1,0,9,,,,,,,,,,,,,,,11,,,71,72
900,note_on,,1,0,10,,,,,,,,,,,,,,,12,,,67,72
900,note_on,,1,0,12,,,,,,,,,,,,,,,15,,,52,72
