tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,pitch,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,program_change,,,,,0,0,2,,,,0,1,,,,,
0,control_change,,,,,0,0,2,,,,,1,7,118,,,
0,control_change,,,,,0,0,2,,,,,1,10,52,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,control_change,,,,,0,0,1,,,,,0,7,127,,,
0,control_change,,,,,0,0,1,,,,,0,10,72,,,
0,set_tempo,,,,,0,1,0,,631579,,,,,,,,
0,key_signature,,,,,0,1,0,G,,,,,,,,,
27,control_change,,,,,27,0,1,,,,,0,121,0,,,
53,control_change,,,,,53,0,2,,,,,1,121,0,,,
80,control_change,,,,,53,0,1,,,,,0,64,0,,,
107,control_change,,,,,54,0,2,,,,,1,64,0,,,
133,control_change,,,,,53,0,1,,,,,0,1,0,,,
160,control_change,,,,,53,0,2,,,,,1,1,0,,,
187,pitchwheel,,,,,54,0,1,,,,,0,,,0,,
213,pitchwheel,,,,,53,0,2,,,,,1,,,0,,
240,control_change,,,,,53,0,1,,,,,0,91,70,,,
267,control_change,,,,,54,0,2,,,,,1,91,70,,,
293,control_change,,,,,53,0,1,,,,,0,93,20,,,
320,control_change,,,,,53,0,2,,,,,1,93,20,,,
420,note_on,,,,,127,0,1,,,,,0,,,,67,100
480,note_on,,,,,0,0,1,,,,,0,,,,67,100
480,note_on,,,,,0,0,1,,,,,0,,,,62,100
480,note_on,,,,,60,0,1,,,,,0,,,,67,0
480,note_on,,,,,160,0,2,,,,,1,,,,55,100
480,note_on,,,,,0,0,1,,,,,0,,,,59,100
540,note_on,,,,,60,0,2,,,,,1,,,,55,0
540,note_on,,,,,0,0,2,,,,,1,,,,50,100
600,note_on,,,,,0,0,2,,,,,1,,,,43,100
600,note_on,,,,,120,0,1,,,,,0,,,,67,0
600,note_on,,,,,0,0,1,,,,,0,,,,59,0
600,note_on,,,,,0,0,1,,,,,0,,,,62,0
600,note_on,,,,,60,0,2,,,,,1,,,,50,0
645,note_on,,,,,45,0,1,,,,,0,,,,67,100
660,note_on,,,,,0,0,1,,,,,0,,,,69,100
660,note_on,,,,,15,0,1,,,,,0,,,,67,0
660,note_on,,,,,0,0,2,,,,,1,,,,55,100
660,note_on,,,,,60,0,2,,,,,1,,,,43,0
705,note_on,,,,,0,0,1,,,,,0,,,,71,100
705,note_on,,,,,45,0,1,,,,,0,,,,69,0
720,note_on,,,,,60,0,2,,,,,1,,,,55,0
720,note_on,,,,,0,0,1,,,,,0,,,,69,100
720,note_on,,,,,15,0,1,,,,,0,,,,71,0
720,note_on,,,,,0,0,2,,,,,1,,,,57,100
720,note_on,,,,,0,0,2,,,,,1,,,,54,100
780,note_on,,,,,0,0,1,,,,,0,,,,62,100
780,note_on,,,,,60,0,1,,,,,0,,,,69,0
840,note_on,,,,,0,0,2,,,,,1,,,,50,100
840,note_on,,,,,60,0,1,,,,,0,,,,62,0
840,note_on,,,,,120,0,2,,,,,1,,,,54,0
