tick,type,data,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,sequencer_specific,"(0, 0, 65)",0,1,0,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,10,77,0,,,
0,program_change,,0,0,1,,,,,,,,,,0,6,,
0,note_on,,0,0,1,,,,,,,,,,0,,67,100
0,note_on,,0,0,1,,,,,,,,,,0,,71,100
0,note_on,,0,0,1,,,,,,,,,,0,,74,100
0,track_name,,0,1,6,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,,,0,0,1,,,
0,control_change,,0,0,2,,,,,,,,32,0,1,,,
0,control_change,,0,0,2,,,,,,,,7,127,1,,,
0,control_change,,0,0,2,,,,,,,,10,55,1,,,
0,control_change,,0,0,1,,,,,,,,7,127,0,,,
0,program_change,,0,0,2,,,,,,,,,,1,6,,
0,note_on,,0,0,2,,,,,,,,,,1,,59,100
0,note_on,,0,0,2,,,,,,,,,,1,,62,100
0,midi_port,,0,1,3,,,,,,,0,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,
0,note_on,,0,0,2,,,,,,,,,,1,,55,100
0,control_change,,0,0,1,,,,,,,,32,0,0,,,
0,end_of_track,,0,1,6,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,857143,,,,,,,
0,key_signature,,0,1,0,,,,,C,,,,,,,,
0,control_change,,0,0,1,,,,,,,,0,0,0,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,,,
384,note_on,,0,0,2,,,,,,,,,,1,,50,100
384,note_on,,0,0,2,,,,,,,,,,1,,55,100
384,note_on,,0,0,2,,,,,,,,,,1,,55,0
384,note_on,,0,0,2,,,,,,,,,,1,,47,100
384,note_on,,0,0,1,,,,,,,,,,0,,71,100
384,note_on,,0,0,2,,,,,,,,,,1,,43,100
384,note_on,,0,0,1,,,,,,,,,,0,,67,0
384,note_on,,384,0,2,,,,,,,,,,1,,62,0
384,note_on,,0,0,2,,,,,,,,,,1,,59,0
384,note_on,,384,0,1,,,,,,,,,,0,,74,0
384,note_on,,0,0,1,,,,,,,,,,0,,76,100
384,note_on,,0,0,1,,,,,,,,,,0,,71,0
428,note_on,,44,0,1,,,,,,,,,,0,,76,0
432,note_on,,4,0,1,,,,,,,,,,0,,74,100
476,note_on,,44,0,1,,,,,,,,,,0,,74,0
480,note_on,,4,0,1,,,,,,,,,,0,,76,100
524,note_on,,44,0,1,,,,,,,,,,0,,76,0
528,note_on,,4,0,1,,,,,,,,,,0,,74,100
572,note_on,,44,0,1,,,,,,,,,,0,,74,0
576,note_on,,4,0,1,,,,,,,,,,0,,76,100
620,note_on,,44,0,1,,,,,,,,,,0,,76,0
624,note_on,,4,0,1,,,,,,,,,,0,,74,100
716,note_on,,92,0,1,,,,,,,,,,0,,74,0
816,note_on,,100,0,1,,,,,,,,,,0,,74,100
864,note_on,,48,0,1,,,,,,,,,,0,,74,0
864,note_on,,0,0,1,,,,,,,,,,0,,76,100
912,note_on,,48,0,1,,,,,,,,,,0,,76,0
912,note_on,,0,0,1,,,,,,,,,,0,,78,100
936,note_on,,24,0,1,,,,,,,,,,0,,78,0
936,note_on,,0,0,1,,,,,,,,,,0,,76,100
960,note_on,,24,0,1,,,,,,,,,,0,,76,0
960,note_on,,0,0,1,,,,,,,,,,0,,78,100
984,note_on,,24,0,1,,,,,,,,,,0,,78,0
984,note_on,,0,0,1,,,,,,,,,,0,,76,100
1008,note_on,,0,0,1,,,,,,,,,,0,,78,100
1008,note_on,,24,0,1,,,,,,,,,,0,,76,0
1032,note_on,,0,0,1,,,,,,,,,,0,,74,100
1032,note_on,,24,0,1,,,,,,,,,,0,,78,0
1056,note_on,,0,0,2,,,,,,,,,,1,,43,0
1056,note_on,,0,0,2,,,,,,,,,,1,,50,0
1056,note_on,,0,0,2,,,,,,,,,,1,,47,0
1056,note_on,,0,0,1,,,,,,,,,,0,,76,100
1056,note_on,,672,0,2,,,,,,,,,,1,,55,0
1056,note_on,,0,0,1,,,,,,,,,,0,,71,0
1056,note_on,,24,0,1,,,,,,,,,,0,,74,0
1104,note_on,,48,0,1,,,,,,,,,,0,,76,0
1104,note_on,,0,0,1,,,,,,,,,,0,,78,100
1148,note_on,,44,0,1,,,,,,,,,,0,,78,0
1152,note_on,,0,0,1,,,,,,,,,,0,,69,100
1152,note_on,,4,0,1,,,,,,,,,,0,,66,100
1152,note_on,,96,0,2,,,,,,,,,,1,,54,100
1152,note_on,,0,0,2,,,,,,,,,,1,,57,100
1152,note_on,,0,0,2,,,,,,,,,,1,,62,100
1152,note_on,,0,0,1,,,,,,,,,,0,,74,100
1536,note_on,,0,0,2,,,,,,,,,,1,,50,100
1536,note_on,,384,0,2,,,,,,,,,,1,,62,0
1536,note_on,,0,0,2,,,,,,,,,,1,,57,0
1536,note_on,,0,0,2,,,,,,,,,,1,,54,0
1536,note_on,,0,0,2,,,,,,,,,,1,,42,100
1536,note_on,,0,0,2,,,,,,,,,,1,,45,100
1536,note_on,,0,0,2,,,,,,,,,,1,,54,100
1536,note_on,,0,0,1,,,,,,,,,,0,,74,100
1536,note_on,,384,0,1,,,,,,,,,,0,,74,0
1536,note_on,,0,0,1,,,,,,,,,,0,,69,0
1536,note_on,,0,0,1,,,,,,,,,,0,,66,0
1536,note_on,,0,0,1,,,,,,,,,,0,,66,100
1536,note_on,,0,0,1,,,,,,,,,,0,,69,100
1856,note_on,,0,0,1,,,,,,,,,,0,,69,0
1856,note_on,,320,0,1,,,,,,,,,,0,,74,0
1856,note_on,,0,0,1,,,,,,,,,,0,,66,0
1968,note_on,,112,0,1,,,,,,,,,,0,,69,100
2016,note_on,,48,0,1,,,,,,,,,,0,,69,0
2016,note_on,,0,0,1,,,,,,,,,,0,,71,100
2064,note_on,,48,0,1,,,,,,,,,,0,,71,0
2064,note_on,,0,0,1,,,,,,,,,,0,,73,100
2112,note_on,,48,0,1,,,,,,,,,,0,,73,0
2112,note_on,,0,0,1,,,,,,,,,,0,,74,100
2160,note_on,,48,0,1,,,,,,,,,,0,,74,0
2160,note_on,,0,0,1,,,,,,,,,,0,,76,100
2184,note_on,,24,0,1,,,,,,,,,,0,,76,0
2184,note_on,,0,0,1,,,,,,,,,,0,,78,100
2208,note_on,,672,0,2,,,,,,,,,,1,,54,0
2208,note_on,,24,0,1,,,,,,,,,,0,,78,0
2208,note_on,,0,0,2,,,,,,,,,,1,,50,0
2208,note_on,,0,0,1,,,,,,,,,,0,,79,100
2208,note_on,,0,0,2,,,,,,,,,,1,,42,0
2208,note_on,,0,0,2,,,,,,,,,,1,,45,0
2232,note_on,,0,0,1,,,,,,,,,,0,,81,100
2232,note_on,,24,0,1,,,,,,,,,,0,,79,0
2256,note_on,,0,0,1,,,,,,,,,,0,,83,100
2256,note_on,,24,0,1,,,,,,,,,,0,,81,0
2280,note_on,,0,0,1,,,,,,,,,,0,,79,100
2280,note_on,,24,0,1,,,,,,,,,,0,,83,0
2300,note_on,,20,0,1,,,,,,,,,,0,,79,0
2304,note_on,,96,0,2,,,,,,,,,,1,,52,100
2304,note_on,,0,0,2,,,,,,,,,,1,,55,100
2304,note_on,,0,0,2,,,,,,,,,,1,,59,100
2304,note_on,,0,0,1,,,,,,,,,,0,,74,100
2304,note_on,,0,0,1,,,,,,,,,,0,,71,100
2304,note_on,,4,0,1,,,,,,,,,,0,,79,100
2492,note_on,,0,0,1,,,,,,,,,,0,,71,0
2492,note_on,,188,0,1,,,,,,,,,,0,,74,0
2496,note_on,,4,0,1,,,,,,,,,,0,,79,0
2496,note_on,,0,0,1,,,,,,,,,,0,,74,100
2520,note_on,,24,0,1,,,,,,,,,,0,,74,0
2520,note_on,,0,0,1,,,,,,,,,,0,,73,100
2544,note_on,,0,0,1,,,,,,,,,,0,,74,100
2544,note_on,,24,0,1,,,,,,,,,,0,,73,0
2568,note_on,,24,0,1,,,,,,,,,,0,,74,0
2568,note_on,,0,0,1,,,,,,,,,,0,,73,100
2592,note_on,,24,0,1,,,,,,,,,,0,,73,0
2592,note_on,,0,0,1,,,,,,,,,,0,,74,100
2616,note_on,,24,0,1,,,,,,,,,,0,,74,0
2616,note_on,,0,0,1,,,,,,,,,,0,,73,100
2636,note_on,,20,0,1,,,,,,,,,,0,,73,0
2640,note_on,,4,0,1,,,,,,,,,,0,,71,100
2684,note_on,,44,0,1,,,,,,,,,,0,,71,0
2688,note_on,,4,0,1,,,,,,,,,,0,,73,100
2688,note_on,,0,0,2,,,,,,,,,,1,,57,100
2688,note_on,,0,0,2,,,,,,,,,,1,,55,0
2688,note_on,,0,0,1,,,,,,,,,,0,,79,100
2688,note_on,,0,0,1,,,,,,,,,,0,,76,100
2688,note_on,,384,0,2,,,,,,,,,,1,,59,0
2688,note_on,,0,0,2,,,,,,,,,,1,,52,100
2688,note_on,,0,0,2,,,,,,,,,,1,,52,0
2688,note_on,,0,0,2,,,,,,,,,,1,,45,100
3008,note_on,,0,0,1,,,,,,,,,,0,,73,0
3008,note_on,,0,0,1,,,,,,,,,,0,,76,0
3008,note_on,,320,0,1,,,,,,,,,,0,,79,0
3120,note_on,,112,0,1,,,,,,,,,,0,,79,100
3164,note_on,,44,0,1,,,,,,,,,,0,,79,0
3168,note_on,,4,0,1,,,,,,,,,,0,,81,100
3212,note_on,,44,0,1,,,,,,,,,,0,,81,0
3216,note_on,,4,0,1,,,,,,,,,,0,,83,100
3236,note_on,,20,0,1,,,,,,,,,,0,,83,0
3240,note_on,,4,0,1,,,,,,,,,,0,,81,100
3284,note_on,,44,0,1,,,,,,,,,,0,,81,0
3288,note_on,,4,0,1,,,,,,,,,,0,,79,100
3308,note_on,,20,0,1,,,,,,,,,,0,,79,0
3312,note_on,,4,0,1,,,,,,,,,,0,,81,100
3356,note_on,,44,0,1,,,,,,,,,,0,,81,0
3360,note_on,,4,0,1,,,,,,,,,,0,,83,100
3360,note_on,,0,0,2,,,,,,,,,,1,,45,0
3360,note_on,,672,0,2,,,,,,,,,,1,,57,0
3360,note_on,,0,0,2,,,,,,,,,,1,,52,0
3404,note_on,,44,0,1,,,,,,,,,,0,,83,0
3408,note_on,,4,0,1,,,,,,,,,,0,,79,100
3452,note_on,,44,0,1,,,,,,,,,,0,,79,0
3456,note_on,,0,0,2,,,,,,,,,,1,,54,100
3456,note_on,,96,0,2,,,,,,,,,,1,,50,100
3456,note_on,,0,0,1,,,,,,,,,,0,,69,100
3456,note_on,,0,0,2,,,,,,,,,,1,,57,100
3456,note_on,,4,0,1,,,,,,,,,,0,,79,100
3456,note_on,,0,0,2,,,,,,,,,,1,,62,100
