tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,7,7,127,,,
0,channel_prefix,0,1,9,,,,,,,,7,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,channel_prefix,0,1,6,,,,,,,,4,,,,,
0,control_change,0,0,6,,,,,,,,4,7,127,,,
0,control_change,0,0,6,,,,,,,,4,10,32,,,
0,program_change,0,0,3,,,,,,,,1,,,48,,
0,program_change,0,0,1,,,,,,,,0,,,19,,
0,control_change,0,0,1,,,,,,,,0,91,127,,,
0,control_change,0,0,1,,,,,,,,0,10,6,,,
0,control_change,0,0,9,,,,,,,,7,10,127,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,4,91,127,,,
0,program_change,0,0,6,,,,,,,,4,,,45,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,channel_prefix,0,1,11,,,,,,,,14,,,,,
0,control_change,0,0,11,,,,,,,,14,7,127,,,
0,control_change,0,0,11,,,,,,,,14,10,6,,,
0,control_change,0,0,11,,,,,,,,14,91,127,,,
0,program_change,0,0,11,,,,,,,,14,,,32,,
0,program_change,0,0,8,,,,,,,,6,,,45,,
0,channel_prefix,0,1,1,,,,,,,,0,,,,,
0,control_change,0,0,8,,,,,,,,6,91,127,,,
0,control_change,0,0,9,,,,,,,,7,91,127,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,channel_prefix,0,1,10,,,,,,,,11,,,,,
0,control_change,0,0,10,,,,,,,,11,7,127,,,
0,control_change,0,0,10,,,,,,,,11,10,63,,,
0,control_change,0,0,10,,,,,,,,11,91,127,,,
0,program_change,0,0,10,,,,,,,,11,,,50,,
0,program_change,0,0,5,,,,,,,,3,,,45,,
0,control_change,0,0,5,,,,,,,,3,91,127,,,
0,control_change,0,0,5,,,,,,,,3,10,1,,,
