tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,79,,
0,track_name,0,1,2,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,40,1,,,,
0,control_change,0,0,2,,,,,,,,1,7,110,,
0,control_change,0,0,2,,,,,,,,1,10,28,,
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,40,0,,,,
0,control_change,0,0,3,,,,,,,,0,7,105,,
0,control_change,0,0,3,,,,,,,,0,10,40,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,41,3,,,,
0,control_change,0,0,4,,,,,,,,3,7,109,,
0,control_change,0,0,4,,,,,,,,3,10,85,,
0,note_on,0,0,4,,,,,,,,3,,,65,105
0,control_change,0,0,1,,,,,,,,0,7,105,,
0,track_name,0,1,5,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,4,7,109,,
0,control_change,0,0,5,,,,,,,,4,10,99,,
0,note_on,0,0,5,,,,,,,,4,,,50,105
0,track_name,0,1,6,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,40,5,,,,
0,control_change,0,0,6,,,,,,,,5,7,108,,
0,control_change,0,0,6,,,,,,,,5,10,86,,
0,note_on,0,0,6,,,,,,,,5,,,38,80
0,track_name,0,1,7,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,6,2,,,,
0,control_change,0,0,7,,,,,,,,2,7,96,,
0,note_on,0,0,7,,,,,,,,2,,,65,105
0,note_on,0,0,7,,,,,,,,2,,,62,105
0,note_on,0,0,7,,,,,,,,2,,,50,105
0,program_change,0,0,5,,,,,,,40,4,,,,
0,program_change,0,0,1,,,,,,,40,0,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,666667,,,,,,
120,note_on,120,0,3,,,,,,,,0,,,74,80
120,note_on,120,0,2,,,,,,,,1,,,74,105
120,note_on,120,0,1,,,,,,,,0,,,74,105
216,note_on,96,0,2,,,,,,,,1,,,74,0
216,note_on,96,0,1,,,,,,,,0,,,74,0
216,note_on,96,0,3,,,,,,,,0,,,74,0
240,note_on,24,0,2,,,,,,,,1,,,74,105
240,note_on,24,0,1,,,,,,,,0,,,74,105
240,note_on,24,0,3,,,,,,,,0,,,74,105
288,note_on,288,0,4,,,,,,,,3,,,65,0
288,note_on,288,0,7,,,,,,,,2,,,50,0
288,note_on,288,0,6,,,,,,,,5,,,38,0
288,note_on,288,0,5,,,,,,,,4,,,50,0
360,note_on,72,0,5,,,,,,,,4,,,53,105
360,note_on,72,0,7,,,,,,,,2,,,53,105
360,note_on,72,0,6,,,,,,,,5,,,41,105
360,note_on,72,0,4,,,,,,,,3,,,69,105
384,note_on,24,0,7,,,,,,,,2,,,62,0
384,note_on,0,0,7,,,,,,,,2,,,65,0
408,note_on,48,0,5,,,,,,,,4,,,53,0
408,note_on,24,0,7,,,,,,,,2,,,53,0
408,note_on,48,0,4,,,,,,,,3,,,69,0
408,note_on,48,0,6,,,,,,,,5,,,41,0
420,note_on,12,0,4,,,,,,,,3,,,67,105
420,note_on,12,0,6,,,,,,,,5,,,40,105
420,note_on,12,0,5,,,,,,,,4,,,52,105
420,note_on,12,0,7,,,,,,,,2,,,52,105
468,note_on,48,0,4,,,,,,,,3,,,67,0
468,note_on,48,0,6,,,,,,,,5,,,40,0
468,note_on,48,0,7,,,,,,,,2,,,52,0
468,note_on,48,0,5,,,,,,,,4,,,52,0
480,note_on,0,0,7,,,,,,,,2,,,65,105
480,note_on,0,0,7,,,,,,,,2,,,50,105
480,note_on,0,0,7,,,,,,,,2,,,65,105
480,note_on,12,0,7,,,,,,,,2,,,57,105
480,note_on,12,0,5,,,,,,,,4,,,50,105
480,note_on,12,0,6,,,,,,,,5,,,38,105
480,note_on,12,0,4,,,,,,,,3,,,65,105
480,note_on,0,0,7,,,,,,,,2,,,69,105
480,note_on,0,0,7,,,,,,,,2,,,62,105
576,note_on,336,0,1,,,,,,,,0,,,74,0
576,note_on,336,0,3,,,,,,,,0,,,74,0
576,note_on,336,0,2,,,,,,,,1,,,74,0
600,note_on,24,0,2,,,,,,,,1,,,77,105
600,note_on,24,0,1,,,,,,,,0,,,77,105
600,note_on,24,0,3,,,,,,,,0,,,77,105
648,note_on,48,0,1,,,,,,,,0,,,77,0
648,note_on,48,0,2,,,,,,,,1,,,77,0
648,note_on,48,0,3,,,,,,,,0,,,77,0
660,note_on,12,0,1,,,,,,,,0,,,76,105
660,note_on,12,0,2,,,,,,,,1,,,76,105
660,note_on,12,0,3,,,,,,,,0,,,76,105
672,note_on,192,0,7,,,,,,,,2,,,57,0
708,note_on,48,0,3,,,,,,,,0,,,76,0
708,note_on,48,0,1,,,,,,,,0,,,76,0
708,note_on,48,0,2,,,,,,,,1,,,76,0
720,note_on,12,0,2,,,,,,,,1,,,74,105
720,note_on,12,0,1,,,,,,,,0,,,74,105
720,note_on,12,0,3,,,,,,,,0,,,74,105
768,note_on,288,0,5,,,,,,,,4,,,50,0
768,note_on,288,0,6,,,,,,,,5,,,38,0
768,note_on,288,0,4,,,,,,,,3,,,65,0
768,note_on,96,0,7,,,,,,,,2,,,50,0
840,note_on,72,0,7,,,,,,,,2,,,53,105
840,note_on,72,0,6,,,,,,,,5,,,41,105
840,note_on,72,0,5,,,,,,,,4,,,53,105
840,note_on,72,0,4,,,,,,,,3,,,69,105
864,note_on,0,0,7,,,,,,,,2,,,62,0
864,note_on,0,0,7,,,,,,,,2,,,65,0
864,note_on,24,0,7,,,,,,,,2,,,69,0
888,note_on,24,0,7,,,,,,,,2,,,53,0
888,note_on,48,0,5,,,,,,,,4,,,53,0
888,note_on,48,0,4,,,,,,,,3,,,69,0
888,note_on,48,0,6,,,,,,,,5,,,41,0
900,note_on,12,0,4,,,,,,,,3,,,67,105
900,note_on,12,0,5,,,,,,,,4,,,52,105
900,note_on,12,0,7,,,,,,,,2,,,52,105
900,note_on,12,0,6,,,,,,,,5,,,40,105
948,note_on,48,0,4,,,,,,,,3,,,67,0
948,note_on,48,0,6,,,,,,,,5,,,40,0
948,note_on,48,0,7,,,,,,,,2,,,52,0
948,note_on,48,0,5,,,,,,,,4,,,52,0
960,note_on,12,0,6,,,,,,,,5,,,38,105
960,note_on,0,0,7,,,,,,,,2,,,50,105
960,note_on,12,0,5,,,,,,,,4,,,50,105
960,note_on,0,0,7,,,,,,,,2,,,69,105
960,note_on,12,0,4,,,,,,,,3,,,65,105
960,note_on,12,0,7,,,,,,,,2,,,74,105
1056,note_on,336,0,3,,,,,,,,0,,,74,0
1056,note_on,336,0,2,,,,,,,,1,,,74,0
1056,note_on,336,0,1,,,,,,,,0,,,74,0
1080,note_on,24,0,1,,,,,,,,0,,,77,105
1080,note_on,24,0,2,,,,,,,,1,,,77,105
1080,note_on,24,0,3,,,,,,,,0,,,77,105
1128,note_on,48,0,2,,,,,,,,1,,,77,0
1128,note_on,48,0,1,,,,,,,,0,,,77,0
