tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,channel_prefix,0,1,9,,,,,,,,7,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,program_change,0,0,8,,,,,,,,6,,,48,,
0,control_change,0,0,8,,,,,,,,6,91,127,,,
0,control_change,0,0,8,,,,,,,,6,10,95,,,
0,control_change,0,0,8,,,,,,,,6,7,127,,,
0,channel_prefix,0,1,8,,,,,,,,6,,,,,
0,control_change,0,0,9,,,,,,,,7,7,127,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,,5,91,127,,,
0,control_change,0,0,7,,,,,,,,5,10,63,,,
0,control_change,0,0,7,,,,,,,,5,7,127,,,
0,channel_prefix,0,1,7,,,,,,,,5,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,program_change,0,0,15,,,,,,,,14,,,32,,
0,control_change,0,0,15,,,,,,,,14,91,127,,,
0,program_change,0,0,7,,,,,,,,5,,,48,,
0,control_change,0,0,9,,,,,,,,7,10,127,,,
0,control_change,0,0,9,,,,,,,,7,91,127,,,
0,program_change,0,0,9,,,,,,,,7,,,48,,
0,control_change,0,0,10,,,,,,,,8,10,1,,,
0,control_change,0,0,10,,,,,,,,8,7,127,,,
0,channel_prefix,0,1,10,,,,,,,,8,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,channel_prefix,0,1,12,,,,,,,,11,,,,,
0,control_change,0,0,12,,,,,,,,11,7,127,,,
0,control_change,0,0,12,,,,,,,,11,10,63,,,
0,control_change,0,0,12,,,,,,,,11,91,127,,,
0,program_change,0,0,12,,,,,,,,11,,,50,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,channel_prefix,0,1,2,,,,,,,,0,,,,,
0,control_change,0,0,2,,,,,,,,0,7,127,,,
0,control_change,0,0,2,,,,,,,,0,10,64,,,
0,control_change,0,0,2,,,,,,,,0,91,124,,,
0,program_change,0,0,2,,,,,,,,0,,,6,,
0,control_change,0,0,15,,,,,,,,14,10,6,,,
0,control_change,0,0,15,,,,,,,,14,7,127,,,
0,channel_prefix,0,1,15,,,,,,,,14,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,channel_prefix,0,1,14,,,,,,,,13,,,,,
0,control_change,0,0,14,,,,,,,,13,7,127,,,
0,control_change,0,0,14,,,,,,,,13,10,127,,,
0,control_change,0,0,14,,,,,,,,13,91,127,,,
0,program_change,0,0,14,,,,,,,,13,,,50,,
0,program_change,0,0,5,,,,,,,,3,,,48,,
0,control_change,0,0,5,,,,,,,,3,91,127,,,
0,control_change,0,0,5,,,,,,,,3,10,1,,,
0,control_change,0,0,5,,,,,,,,3,7,127,,,
0,channel_prefix,0,1,5,,,,,,,,3,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,2,,,40,,
0,control_change,0,0,4,,,,,,,,2,91,123,,,
0,control_change,0,0,4,,,,,,,,2,10,64,,,
0,control_change,0,0,4,,,,,,,,2,7,127,,,
0,channel_prefix,0,1,4,,,,,,,,2,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,control_change,0,0,10,,,,,,,,8,91,124,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,control_change,0,0,6,,,,,,,,4,7,127,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,channel_prefix,0,1,13,,,,,,,,12,,,,,
0,control_change,0,0,13,,,,,,,,12,7,127,,,
0,control_change,0,0,13,,,,,,,,12,10,95,,,
0,control_change,0,0,13,,,,,,,,12,91,127,,,
0,program_change,0,0,13,,,,,,,,12,,,50,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,channel_prefix,0,1,3,,,,,,,,1,,,,,
0,control_change,0,0,3,,,,,,,,1,7,127,,,
0,control_change,0,0,3,,,,,,,,1,10,64,,,
0,control_change,0,0,3,,,,,,,,1,91,125,,,
0,program_change,0,0,3,,,,,,,,1,,,48,,
0,program_change,0,0,6,,,,,,,,4,,,48,,
0,control_change,0,0,6,,,,,,,,4,91,127,,,
0,control_change,0,0,6,,,,,,,,4,10,32,,,
0,channel_prefix,0,1,6,,,,,,,,4,,,,,
0,program_change,0,0,10,,,,,,,,8,,,50,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,10,7,127,,,
0,program_change,0,0,11,,,,,,,,10,,,50,,
0,control_change,0,0,11,,,,,,,,10,91,127,,,
0,control_change,0,0,11,,,,,,,,10,10,32,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,channel_prefix,0,1,11,,,,,,,,10,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,,
0,channel_prefix,0,1,1,,,,,,,,0,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,,
0,set_tempo,0,1,0,500000,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,0,,,6,,
0,control_change,0,0,1,,,,,,,,0,91,124,,,
0,key_signature,0,1,0,,,,,,Bb,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,64,,,
120,note_on,120,0,9,,,,,,,,7,,,,43,75
120,note_on,120,0,5,,,,,,,,3,,,,67,92
120,set_tempo,120,1,0,410958,,,,,,,,,,,,
120,note_on,120,0,10,,,,,,,,8,,,,67,75
120,program_change,120,0,6,,,,,,,,4,,,49,,
120,note_on,120,0,14,,,,,,,,13,,,,43,75
120,note_on,0,0,6,,,,,,,,4,,,,67,92
120,note_on,120,0,15,,,,,,,,14,,,,43,75
120,note_on,120,0,13,,,,,,,,12,,,,55,75
120,note_on,120,0,8,,,,,,,,6,,,,55,75
200,note_off,80,0,13,,,,,,,,12,,,,55,64
200,note_off,80,0,8,,,,,,,,6,,,,55,64
235,note_off,115,0,5,,,,,,,,3,,,,67,64
235,note_off,115,0,10,,,,,,,,8,,,,67,64
235,note_off,115,0,6,,,,,,,,4,,,,67,64
240,note_on,5,0,5,,,,,,,,3,,,,55,92
240,note_on,5,0,6,,,,,,,,4,,,,55,92
240,note_on,5,0,10,,,,,,,,8,,,,55,75
355,note_off,115,0,6,,,,,,,,4,,,,55,64
355,note_off,115,0,10,,,,,,,,8,,,,55,64
355,note_off,115,0,5,,,,,,,,3,,,,55,64
360,note_on,5,0,6,,,,,,,,4,,,,55,92
360,note_on,160,0,8,,,,,,,,6,,,,43,75
360,note_on,160,0,13,,,,,,,,12,,,,43,75
360,note_on,5,0,10,,,,,,,,8,,,,55,75
360,note_on,5,0,5,,,,,,,,3,,,,55,92
440,note_off,80,0,8,,,,,,,,6,,,,43,64
440,note_off,80,0,13,,,,,,,,12,,,,43,64
475,note_off,115,0,5,,,,,,,,3,,,,55,64
475,note_off,115,0,10,,,,,,,,8,,,,55,64
475,note_off,115,0,6,,,,,,,,4,,,,55,64
480,note_on,5,0,6,,,,,,,,4,,,,55,92
480,note_on,5,0,5,,,,,,,,3,,,,55,92
480,note_on,5,0,10,,,,,,,,8,,,,55,75
520,note_off,400,0,14,,,,,,,,13,,,,43,64
520,note_off,400,0,15,,,,,,,,14,,,,43,64
520,note_off,400,0,9,,,,,,,,7,,,,43,64
595,note_off,115,0,10,,,,,,,,8,,,,55,64
595,note_off,115,0,6,,,,,,,,4,,,,55,64
595,note_off,115,0,5,,,,,,,,3,,,,55,64
600,note_on,80,0,15,,,,,,,,14,,,,31,75
600,note_on,80,0,14,,,,,,,,13,,,,31,75
600,note_on,160,0,13,,,,,,,,12,,,,43,75
600,note_on,5,0,6,,,,,,,,4,,,,55,92
600,note_on,80,0,9,,,,,,,,7,,,,31,75
600,note_on,160,0,8,,,,,,,,6,,,,43,75
600,note_on,5,0,10,,,,,,,,8,,,,55,75
600,note_on,5,0,5,,,,,,,,3,,,,55,92
680,note_off,80,0,13,,,,,,,,12,,,,43,64
680,note_off,80,0,8,,,,,,,,6,,,,43,64
715,note_off,115,0,6,,,,,,,,4,,,,55,64
715,note_off,115,0,5,,,,,,,,3,,,,55,64
715,note_off,115,0,10,,,,,,,,8,,,,55,64
720,note_on,5,0,6,,,,,,,,4,,,,55,92
720,note_on,5,0,10,,,,,,,,8,,,,55,75
720,note_on,5,0,5,,,,,,,,3,,,,55,92
835,note_off,115,0,6,,,,,,,,4,,,,55,64
835,note_off,115,0,10,,,,,,,,8,,,,55,64
835,note_off,115,0,5,,,,,,,,3,,,,55,64
840,note_on,5,0,6,,,,,,,,4,,,,55,92
840,note_on,5,0,5,,,,,,,,3,,,,55,92
840,note_on,5,0,10,,,,,,,,8,,,,55,75
840,note_on,160,0,8,,,,,,,,6,,,,43,75
840,note_on,160,0,13,,,,,,,,12,,,,43,75
920,note_off,80,0,13,,,,,,,,12,,,,43,64
920,note_off,80,0,8,,,,,,,,6,,,,43,64
955,note_off,115,0,6,,,,,,,,4,,,,55,64
955,note_off,115,0,5,,,,,,,,3,,,,55,64
955,note_off,115,0,10,,,,,,,,8,,,,55,64
960,note_on,5,0,6,,,,,,,,4,,,,55,92
960,note_on,5,0,5,,,,,,,,3,,,,55,92
960,note_on,5,0,10,,,,,,,,8,,,,55,75
1000,note_off,400,0,9,,,,,,,,7,,,,31,64
1000,note_off,400,0,15,,,,,,,,14,,,,31,64
1000,note_off,400,0,14,,,,,,,,13,,,,31,64
1075,note_off,115,0,6,,,,,,,,4,,,,55,64
1075,note_off,115,0,10,,,,,,,,8,,,,55,64
1075,note_off,115,0,5,,,,,,,,3,,,,55,64
1080,note_on,5,0,10,,,,,,,,8,,,,55,75
1080,note_on,80,0,15,,,,,,,,14,,,,31,75
1080,note_on,160,0,13,,,,,,,,12,,,,43,75
1080,note_on,160,0,8,,,,,,,,6,,,,43,75
1080,note_on,80,0,9,,,,,,,,7,,,,31,75
1080,note_on,5,0,5,,,,,,,,3,,,,55,92
1080,note_on,5,0,6,,,,,,,,4,,,,55,92
1080,note_on,80,0,14,,,,,,,,13,,,,31,75
1160,note_off,80,0,8,,,,,,,,6,,,,43,64
1160,note_off,80,0,13,,,,,,,,12,,,,43,64
1195,note_off,115,0,6,,,,,,,,4,,,,55,64
1195,note_off,115,0,5,,,,,,,,3,,,,55,64
1195,note_off,115,0,10,,,,,,,,8,,,,55,64
1200,note_on,5,0,10,,,,,,,,8,,,,55,75
1200,note_on,5,0,6,,,,,,,,4,,,,55,92
1200,note_on,5,0,5,,,,,,,,3,,,,55,92
1315,note_off,115,0,5,,,,,,,,3,,,,55,64
1315,note_off,115,0,10,,,,,,,,8,,,,55,64
1315,note_off,115,0,6,,,,,,,,4,,,,55,64
1320,note_on,5,0,10,,,,,,,,8,,,,55,75
1320,note_on,5,0,5,,,,,,,,3,,,,55,92
1320,note_on,160,0,13,,,,,,,,12,,,,43,75
1320,note_on,160,0,8,,,,,,,,6,,,,43,75
1320,note_on,5,0,6,,,,,,,,4,,,,55,92
1400,note_off,80,0,13,,,,,,,,12,,,,43,64
1400,note_off,80,0,8,,,,,,,,6,,,,43,64
1435,note_off,115,0,6,,,,,,,,4,,,,55,64
1435,note_off,115,0,5,,,,,,,,3,,,,55,64
1435,note_off,115,0,10,,,,,,,,8,,,,55,64
1440,note_on,5,0,5,,,,,,,,3,,,,55,92
1440,note_on,5,0,10,,,,,,,,8,,,,55,75
1440,note_on,5,0,6,,,,,,,,4,,,,55,92
1480,note_off,400,0,9,,,,,,,,7,,,,31,64
1480,note_off,400,0,15,,,,,,,,14,,,,31,64
1480,note_off,400,0,14,,,,,,,,13,,,,31,64
1555,note_off,115,0,6,,,,,,,,4,,,,55,64
1555,note_off,115,0,5,,,,,,,,3,,,,55,64
1555,note_off,115,0,10,,,,,,,,8,,,,55,64
1560,note_on,160,0,8,,,,,,,,6,,,,53,75
1560,note_on,5,0,5,,,,,,,,3,,,,65,92
1560,note_on,80,0,9,,,,,,,,7,,,,41,75
1560,note_on,80,0,14,,,,,,,,13,,,,41,75
1560,note_on,160,0,13,,,,,,,,12,,,,53,75
1560,note_on,5,0,6,,,,,,,,4,,,,65,92
1560,note_on,5,0,10,,,,,,,,8,,,,65,75
1560,note_on,80,0,15,,,,,,,,14,,,,41,75
1640,note_off,80,0,8,,,,,,,,6,,,,53,64
1640,note_off,80,0,13,,,,,,,,12,,,,53,64
1675,note_off,115,0,5,,,,,,,,3,,,,65,64
1675,note_off,115,0,10,,,,,,,,8,,,,65,64
1675,note_off,115,0,6,,,,,,,,4,,,,65,64
1680,note_on,5,0,5,,,,,,,,3,,,,55,92
1680,note_on,5,0,10,,,,,,,,8,,,,55,75
1680,note_on,5,0,6,,,,,,,,4,,,,55,92
1795,note_off,115,0,10,,,,,,,,8,,,,55,64
1795,note_off,115,0,6,,,,,,,,4,,,,55,64
1795,note_off,115,0,5,,,,,,,,3,,,,55,64
1800,note_on,5,0,10,,,,,,,,8,,,,55,75
1800,note_on,160,0,8,,,,,,,,6,,,,43,75
1800,note_on,160,0,13,,,,,,,,12,,,,43,75
1800,note_on,5,0,6,,,,,,,,4,,,,55,92
1800,note_on,5,0,5,,,,,,,,3,,,,55,92
1880,note_off,80,0,13,,,,,,,,12,,,,43,64
1880,note_off,80,0,8,,,,,,,,6,,,,43,64
1915,note_off,115,0,5,,,,,,,,3,,,,55,64
1915,note_off,115,0,6,,,,,,,,4,,,,55,64
1915,note_off,115,0,10,,,,,,,,8,,,,55,64
1920,note_on,5,0,10,,,,,,,,8,,,,55,75
1920,note_on,5,0,5,,,,,,,,3,,,,55,92
1920,note_on,5,0,6,,,,,,,,4,,,,55,92
1960,note_off,400,0,14,,,,,,,,13,,,,41,64
1960,note_off,400,0,15,,,,,,,,14,,,,41,64
1960,note_off,400,0,9,,,,,,,,7,,,,41,64
2035,note_off,115,0,6,,,,,,,,4,,,,55,64
2035,note_off,115,0,5,,,,,,,,3,,,,55,64
2035,note_off,115,0,10,,,,,,,,8,,,,55,64
2040,note_on,5,0,6,,,,,,,,4,,,,55,92
2040,note_on,5,0,5,,,,,,,,3,,,,55,92
2040,note_on,160,0,8,,,,,,,,6,,,,43,75
2040,note_on,80,0,14,,,,,,,,13,,,,31,75
2040,note_on,5,0,10,,,,,,,,8,,,,55,75
2040,note_on,80,0,15,,,,,,,,14,,,,31,75
2040,note_on,160,0,13,,,,,,,,12,,,,43,75
2040,note_on,80,0,9,,,,,,,,7,,,,31,75
2120,note_off,80,0,13,,,,,,,,12,,,,43,64
2120,note_off,80,0,8,,,,,,,,6,,,,43,64
2155,note_off,115,0,5,,,,,,,,3,,,,55,64
2155,note_off,115,0,6,,,,,,,,4,,,,55,64
2155,note_off,115,0,10,,,,,,,,8,,,,55,64
2160,note_on,5,0,10,,,,,,,,8,,,,55,75
2160,note_on,5,0,5,,,,,,,,3,,,,55,92
2160,note_on,5,0,6,,,,,,,,4,,,,55,92
2275,note_off,115,0,6,,,,,,,,4,,,,55,64
2275,note_off,115,0,10,,,,,,,,8,,,,55,64
2275,note_off,115,0,5,,,,,,,,3,,,,55,64
2280,note_on,5,0,5,,,,,,,,3,,,,55,92
2280,note_on,5,0,10,,,,,,,,8,,,,55,75
2280,note_on,160,0,13,,,,,,,,12,,,,43,75
2280,note_on,160,0,8,,,,,,,,6,,,,43,75
2280,note_on,5,0,6,,,,,,,,4,,,,55,92
2360,note_off,80,0,8,,,,,,,,6,,,,43,64
2360,note_off,80,0,13,,,,,,,,12,,,,43,64
2395,note_off,115,0,5,,,,,,,,3,,,,55,64
2395,note_off,115,0,6,,,,,,,,4,,,,55,64
2395,note_off,115,0,10,,,,,,,,8,,,,55,64
2400,note_on,5,0,6,,,,,,,,4,,,,55,92
2400,note_on,5,0,5,,,,,,,,3,,,,55,92
2400,note_on,5,0,10,,,,,,,,8,,,,55,75
2440,note_off,400,0,15,,,,,,,,14,,,,31,64
2440,note_off,400,0,14,,,,,,,,13,,,,31,64
2440,note_off,400,0,9,,,,,,,,7,,,,31,64
2515,note_off,115,0,10,,,,,,,,8,,,,55,64
2515,note_off,115,0,6,,,,,,,,4,,,,55,64
2515,note_off,115,0,5,,,,,,,,3,,,,55,64
2520,note_on,80,0,15,,,,,,,,14,,,,31,75
2520,note_on,160,0,13,,,,,,,,12,,,,43,75
2520,note_on,80,0,9,,,,,,,,7,,,,31,75
2520,note_on,5,0,5,,,,,,,,3,,,,55,92
2520,note_on,80,0,14,,,,,,,,13,,,,31,75
2520,note_on,5,0,6,,,,,,,,4,,,,55,92
2520,note_on,5,0,10,,,,,,,,8,,,,55,75
2520,note_on,160,0,8,,,,,,,,6,,,,43,75
2600,note_off,80,0,13,,,,,,,,12,,,,43,64
2600,note_off,80,0,8,,,,,,,,6,,,,43,64
2635,note_off,115,0,5,,,,,,,,3,,,,55,64
2635,note_off,115,0,10,,,,,,,,8,,,,55,64
2635,note_off,115,0,6,,,,,,,,4,,,,55,64
2640,note_on,5,0,5,,,,,,,,3,,,,55,92
