tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity,pitch
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,,
0,program_change,,,,,0,0,7,,,,49,6,,,,,
0,control_change,,,,,0,0,7,,,,,6,7,50,,,
0,control_change,,,,,0,0,7,,,,,6,10,55,,,
0,control_change,,,,,0,0,7,,,,,6,11,127,,,
0,control_change,,,,,0,0,7,,,,,6,8,64,,,
0,track_name,,,,,0,1,19,,,,,,,,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,,
0,program_change,,,,,0,0,8,,,,48,7,,,,,
0,control_change,,,,,0,0,8,,,,,7,7,35,,,
0,control_change,,,,,0,0,8,,,,,7,10,60,,,
0,control_change,,,,,0,0,8,,,,,7,11,127,,,
0,control_change,,,,,0,0,8,,,,,7,8,64,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,,,,
0,program_change,,,,,0,0,9,,,,42,8,,,,,
0,control_change,,,,,0,0,9,,,,,8,7,30,,,
0,control_change,,,,,0,0,9,,,,,8,10,65,,,
0,control_change,,,,,0,0,9,,,,,8,11,127,,,
0,control_change,,,,,0,0,9,,,,,8,8,64,,,
0,note_on,,,,,0,0,9,,,,,8,,,53,127,
0,control_change,,,,,0,0,6,,,,,5,8,64,,,
0,midi_port,,,,,0,1,10,,,0,,,,,,,
0,control_change,,,,,0,0,6,,,,,5,11,127,,,
0,control_change,,,,,0,0,6,,,,,5,7,35,,,
0,program_change,,,,,0,0,2,,,,91,1,,,,,
0,control_change,,,,,0,0,2,,,,,1,10,50,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,program_change,,,,,0,0,3,,,,52,2,,,,,
0,control_change,,,,,0,0,3,,,,,2,10,70,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,program_change,,,,,0,0,4,,,,68,3,,,,,
0,control_change,,,,,0,0,4,,,,,3,7,30,,,
0,control_change,,,,,0,0,4,,,,,3,10,40,,,
0,control_change,,,,,0,0,4,,,,,3,11,127,,,
0,control_change,,,,,0,0,4,,,,,3,8,64,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,program_change,,,,,0,0,5,,,,68,4,,,,,
0,control_change,,,,,0,0,5,,,,,4,7,30,,,
0,control_change,,,,,0,0,5,,,,,4,10,45,,,
0,control_change,,,,,0,0,5,,,,,4,11,127,,,
0,control_change,,,,,0,0,5,,,,,4,8,64,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,,
0,program_change,,,,,0,0,6,,,,48,5,,,,,
0,control_change,,,,,0,0,6,,,,,5,10,50,,,
0,track_name,,,,,0,1,10,,,,,,,,,,
0,program_change,,,,,0,0,10,,,,43,10,,,,,
0,control_change,,,,,0,0,10,,,,,10,7,35,,,
0,program_change,,,,,0,0,14,,,,43,14,,,,,
0,control_change,,,,,0,0,14,,,,,14,7,30,,,
0,control_change,,,,,0,0,14,,,,,14,10,95,,,
0,control_change,,,,,0,0,14,,,,,14,11,127,,,
0,control_change,,,,,0,0,14,,,,,14,8,64,,,
0,midi_port,,,,,0,1,15,,,0,,,,,,,
0,track_name,,,,,0,1,15,,,,,,,,,,
0,program_change,,,,,0,0,15,,,,70,15,,,,,
0,control_change,,,,,0,0,15,,,,,15,7,45,,,
0,control_change,,,,,0,0,15,,,,,15,10,100,,,
0,control_change,,,,,0,0,15,,,,,15,11,127,,,
0,control_change,,,,,0,0,15,,,,,15,8,64,,,
0,note_on,,,,,0,0,15,,,,,15,,,53,127,
0,midi_port,,,,,0,1,16,,,0,,,,,,,
0,track_name,,,,,0,1,16,,,,,,,,,,
0,end_of_track,,,,,0,1,16,,,,,,,,,,
0,midi_port,,,,,0,1,17,,,0,,,,,,,
0,track_name,,,,,0,1,17,,,,,,,,,,
0,end_of_track,,,,,0,1,17,,,,,,,,,,
0,midi_port,,,,,0,1,18,,,0,,,,,,,
0,track_name,,,,,0,1,18,,,,,,,,,,
0,end_of_track,,,,,0,1,18,,,,,,,,,,
0,midi_port,,,,,0,1,19,,,0,,,,,,,
0,track_name,,,,,0,1,14,,,,,,,,,,
0,midi_port,,,,,0,1,14,,,0,,,,,,,
0,note_on,,,,,0,0,13,,,,,13,,,53,127,
0,control_change,,,,,0,0,13,,,,,13,8,64,,,
0,control_change,,,,,0,0,10,,,,,10,10,70,,,
0,control_change,,,,,0,0,10,,,,,10,11,127,,,
0,control_change,,,,,0,0,10,,,,,10,8,64,,,
0,midi_port,,,,,0,1,11,,,0,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,,,,
0,program_change,,,,,0,0,11,,,,19,11,,,,,
