tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,3,4,96,8,0,1,0,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,E,,
0,control_change,,,,,0,0,4,,,91,64,0,,,,
0,control_change,,,,,0,0,4,,,10,64,0,,,,
0,control_change,,,,,0,0,4,,,7,100,0,,,,
0,program_change,,,,,0,0,4,,,,,0,40,,,
0,control_change,,,,,0,0,4,,,0,0,0,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,E,,
0,program_change,,,,,0,0,3,,,,,0,40,,,
0,control_change,,,,,0,0,3,,,91,64,0,,,,
0,control_change,,,,,0,0,3,,,10,64,0,,,,
0,control_change,,,,,0,0,3,,,7,100,0,,,,
0,control_change,,,,,0,0,3,,,0,0,0,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,1,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,control_change,,,,,0,0,9,,,91,66,2,,,,
0,key_signature,,,,,0,1,9,,,,,,,E,,
0,note_on,,,,,0,0,9,,,,,2,,,80,100
0,control_change,,,,,0,0,8,,,0,0,1,,,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,control_change,,,,,0,0,10,,,0,0,3,,,,
0,program_change,,,,,0,0,10,,,,,3,48,,,
0,control_change,,,,,0,0,10,,,7,95,3,,,,
0,control_change,,,,,0,0,10,,,91,64,3,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,5,,,0,0,0,,,,
0,program_change,,,,,0,0,5,,,,,0,40,,,
0,control_change,,,,,0,0,5,,,7,100,0,,,,
0,program_change,,,,,0,0,8,,,,,1,48,,,
0,control_change,,,,,0,0,8,,,7,100,1,,,,
0,control_change,,,,,0,0,8,,,10,53,1,,,,
0,control_change,,,,,0,0,8,,,91,66,1,,,,
0,key_signature,,,,,0,1,8,,,,,,,E,,
0,note_on,,,,,0,0,8,,,,,1,,,76,100
0,track_name,,,,,0,1,9,,,,,,,,,
0,control_change,,,,,0,0,9,,,0,0,2,,,,
0,program_change,,,,,0,0,9,,,,,2,48,,,
0,control_change,,,,,0,0,9,,,7,95,2,,,,
0,control_change,,,,,0,0,9,,,10,39,2,,,,
0,key_signature,,,,,0,1,7,,,,,,,E,,
0,control_change,,,,,0,0,7,,,91,64,0,,,,
0,control_change,,,,,0,0,7,,,10,64,0,,,,
0,key_signature,,,,,0,1,10,,,,,,,E,,
0,control_change,,,,,0,0,7,,,7,100,0,,,,
0,control_change,,,,,0,0,7,,,0,0,0,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,key_signature,,,,,0,1,6,,,,,,,E,,
0,control_change,,,,,0,0,6,,,91,64,0,,,,
0,control_change,,,,,0,0,6,,,10,64,0,,,,
0,control_change,,,,,0,0,6,,,7,100,0,,,,
0,program_change,,,,,0,0,6,,,,,0,40,,,
0,control_change,,,,,0,0,6,,,0,0,0,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,E,,
0,control_change,,,,,0,0,5,,,91,64,0,,,,
0,control_change,,,,,0,0,5,,,10,64,0,,,,
0,program_change,,,,,0,0,7,,,,,0,40,,,
0,note_on,,,,,0,0,10,,,,,3,,,71,100
0,track_name,,,,,0,1,8,,,,,,,,,
0,control_change,,,,,0,0,13,,,7,55,6,,,,
0,control_change,,,,,0,0,12,,,0,0,5,,,,
0,program_change,,,,,0,0,12,,,,,5,48,,,
0,control_change,,,,,0,0,12,,,7,77,5,,,,
0,control_change,,,,,0,0,12,,,10,89,5,,,,
0,control_change,,,,,0,0,12,,,91,66,5,,,,
0,key_signature,,,,,0,1,12,,,,,,,E,,
0,note_on,,,,,0,0,12,,,,,5,,,40,100
0,control_change,,,,,0,0,14,,,91,60,6,,,,
0,control_change,,,,,0,0,14,,,7,55,6,,,,
0,program_change,,,,,0,0,14,,,,,6,6,,,
0,control_change,,,,,0,0,14,,,0,0,6,,,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,control_change,,,,,0,0,13,,,0,0,6,,,,
0,program_change,,,,,0,0,13,,,,,6,6,,,
0,track_name,,,,,0,1,14,,,,,,,,,
0,control_change,,,,,0,0,13,,,91,60,6,,,,
0,key_signature,,,,,0,1,13,,,,,,,E,,
0,note_on,,,,,0,0,13,,,,,6,,,59,100
0,note_on,,,,,0,0,13,,,,,6,,,68,100
0,track_name,,,,,0,1,12,,,,,,,,,
0,key_signature,,,,,0,1,14,,,,,,,E,,
0,note_on,,,,,0,0,14,,,,,6,,,52,100
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,key_signature,,,,,0,1,11,,,,,,,E,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 1)",,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,control_change,,,,,0,0,11,,,0,0,4,,,,
0,program_change,,,,,0,0,11,,,,,4,48,,,
0,control_change,,,,,0,0,11,,,7,82,4,,,,
0,control_change,,,,,0,0,11,,,10,78,4,,,,
0,control_change,,,,,0,0,11,,,91,65,4,,,,
0,set_tempo,,,,,0,1,0,,428571,,,,,,,
0,note_on,,,,,0,0,11,,,,,4,,,52,100
128,note_off,,,,,128,0,8,,,,,1,,,76,100
192,note_on,,,,,64,0,8,,,,,1,,,80,100
200,note_off,,,,,0,0,13,,,,,6,,,68,100
200,note_off,,,,,200,0,13,,,,,6,,,59,100
200,note_off,,,,,200,0,10,,,,,3,,,71,100
200,note_off,,,,,200,0,11,,,,,4,,,52,100
200,note_off,,,,,200,0,12,,,,,5,,,40,100
200,note_off,,,,,200,0,14,,,,,6,,,52,100
256,note_off,,,,,256,0,9,,,,,2,,,80,100
320,note_off,,,,,128,0,8,,,,,1,,,80,100
384,note_on,,,,,64,0,8,,,,,1,,,76,100
384,note_on,,,,,0,0,13,,,,,6,,,71,100
384,note_on,,,,,184,0,10,,,,,3,,,68,100
384,note_on,,,,,184,0,14,,,,,6,,,64,100
384,note_on,,,,,184,0,11,,,,,4,,,64,100
384,note_on,,,,,184,0,13,,,,,6,,,68,100
384,note_on,,,,,184,0,12,,,,,5,,,52,100
512,note_off,,,,,128,0,8,,,,,1,,,76,100
576,note_on,,,,,64,0,8,,,,,1,,,71,100
576,note_on,,,,,320,0,9,,,,,2,,,80,100
584,note_off,,,,,200,0,14,,,,,6,,,64,100
584,note_off,,,,,0,0,13,,,,,6,,,71,100
584,note_off,,,,,200,0,10,,,,,3,,,68,100
584,note_off,,,,,200,0,12,,,,,5,,,52,100
584,note_off,,,,,200,0,13,,,,,6,,,68,100
584,note_off,,,,,200,0,11,,,,,4,,,64,100
704,note_off,,,,,128,0,9,,,,,2,,,80,100
704,note_off,,,,,128,0,8,,,,,1,,,71,100
768,note_on,,,,,64,0,9,,,,,2,,,76,100
768,note_on,,,,,64,0,8,,,,,1,,,68,100
896,note_off,,,,,128,0,9,,,,,2,,,76,100
896,note_off,,,,,128,0,8,,,,,1,,,68,100
960,note_on,,,,,64,0,9,,,,,2,,,71,100
960,note_on,,,,,64,0,8,,,,,1,,,64,100
1088,note_off,,,,,128,0,8,,,,,1,,,64,100
1088,note_off,,,,,128,0,9,,,,,2,,,71,100
1152,set_tempo,,,,,1152,1,0,,428571,,,,,,,
1152,note_on,,,,,568,0,14,,,,,6,,,52,100
1152,note_on,,,,,64,0,8,,,,,1,,,76,100
1152,note_on,,,,,568,0,13,,,,,6,,,59,100
1152,note_on,,,,,64,0,9,,,,,2,,,71,100
1152,note_on,,,,,568,0,11,,,,,4,,,52,100
1152,note_on,,,,,568,0,12,,,,,5,,,40,100
1152,note_on,,,,,568,0,10,,,,,3,,,68,100
1152,note_on,,,,,0,0,13,,,,,6,,,68,100
1352,note_off,,,,,200,0,11,,,,,4,,,52,100
1352,note_off,,,,,200,0,10,,,,,3,,,68,100
1352,note_off,,,,,200,0,12,,,,,5,,,40,100
1352,note_off,,,,,200,0,14,,,,,6,,,52,100
1352,note_off,,,,,200,0,8,,,,,1,,,76,100
1352,note_off,,,,,0,0,13,,,,,6,,,68,100
1352,note_off,,,,,200,0,9,,,,,2,,,71,100
1352,note_off,,,,,200,0,13,,,,,6,,,59,100
1536,note_on,,,,,184,0,10,,,,,3,,,71,100
1536,note_on,,,,,184,0,8,,,,,1,,,80,100
1536,note_on,,,,,0,0,13,,,,,6,,,71,100
1536,note_on,,,,,184,0,12,,,,,5,,,52,100
1536,note_on,,,,,184,0,11,,,,,4,,,64,100
1536,note_on,,,,,184,0,9,,,,,2,,,76,100
1536,note_on,,,,,184,0,13,,,,,6,,,68,100
1536,note_on,,,,,184,0,14,,,,,6,,,64,100
1736,note_off,,,,,200,0,13,,,,,6,,,68,100
1736,note_off,,,,,200,0,8,,,,,1,,,80,100
1736,note_off,,,,,0,0,13,,,,,6,,,71,100
1736,note_off,,,,,200,0,9,,,,,2,,,76,100
1736,note_off,,,,,200,0,12,,,,,5,,,52,100
1736,note_off,,,,,200,0,10,,,,,3,,,71,100
1736,note_off,,,,,200,0,11,,,,,4,,,64,100
1736,note_off,,,,,200,0,14,,,,,6,,,64,100
2304,note_on,,,,,568,0,14,,,,,6,,,47,100
2304,note_on,,,,,568,0,8,,,,,1,,,78,100
2304,note_on,,,,,0,0,13,,,,,6,,,63,100
2304,note_on,,,,,568,0,13,,,,,6,,,66,100
2304,note_on,,,,,568,0,12,,,,,5,,,35,100
2304,note_on,,,,,568,0,10,,,,,3,,,71,100
2304,note_on,,,,,568,0,11,,,,,4,,,47,100
2304,note_on,,,,,568,0,9,,,,,2,,,75,100
2432,note_off,,,,,128,0,8,,,,,1,,,78,100
2496,note_on,,,,,64,0,8,,,,,1,,,83,100
2504,note_off,,,,,200,0,12,,,,,5,,,35,100
2504,note_off,,,,,0,0,13,,,,,6,,,63,100
2504,note_off,,,,,200,0,10,,,,,3,,,71,100
2504,note_off,,,,,200,0,14,,,,,6,,,47,100
2504,note_off,,,,,200,0,11,,,,,4,,,47,100
2504,note_off,,,,,200,0,13,,,,,6,,,66,100
2560,note_off,,,,,256,0,9,,,,,2,,,75,100
2624,note_off,,,,,128,0,8,,,,,1,,,83,100
2688,note_on,,,,,184,0,10,,,,,3,,,75,100
2688,note_on,,,,,184,0,12,,,,,5,,,47,100
2688,note_on,,,,,184,0,11,,,,,4,,,59,100
2688,note_on,,,,,184,0,14,,,,,6,,,59,100
2688,note_on,,,,,0,0,13,,,,,6,,,66,100
2688,note_on,,,,,184,0,13,,,,,6,,,75,100
2688,note_on,,,,,64,0,8,,,,,1,,,78,100
2816,note_off,,,,,128,0,8,,,,,1,,,78,100
2880,note_on,,,,,64,0,8,,,,,1,,,75,100
2880,note_on,,,,,320,0,9,,,,,2,,,78,100
2888,note_off,,,,,0,0,13,,,,,6,,,66,100
2888,note_off,,,,,200,0,13,,,,,6,,,75,100
2888,note_off,,,,,200,0,10,,,,,3,,,75,100
2888,note_off,,,,,200,0,14,,,,,6,,,59,100
2888,note_off,,,,,200,0,11,,,,,4,,,59,100
2888,note_off,,,,,200,0,12,,,,,5,,,47,100
3008,note_off,,,,,128,0,8,,,,,1,,,75,100
3008,note_off,,,,,128,0,9,,,,,2,,,78,100
3072,note_on,,,,,64,0,9,,,,,2,,,75,100
3072,note_on,,,,,64,0,8,,,,,1,,,71,100
3200,note_off,,,,,128,0,9,,,,,2,,,75,100
3200,note_off,,,,,128,0,8,,,,,1,,,71,100
3264,note_on,,,,,64,0,9,,,,,2,,,71,100
3264,note_on,,,,,64,0,8,,,,,1,,,66,100
3392,note_off,,,,,128,0,9,,,,,2,,,71,100
3392,note_off,,,,,128,0,8,,,,,1,,,66,100
3456,note_on,,,,,64,0,8,,,,,1,,,78,100
3456,note_on,,,,,568,0,12,,,,,5,,,35,100
3456,note_on,,,,,568,0,13,,,,,6,,,66,100
3456,note_on,,,,,0,0,13,,,,,6,,,63,100
3456,note_on,,,,,568,0,10,,,,,3,,,71,100
3456,note_on,,,,,64,0,9,,,,,2,,,75,100
3456,note_on,,,,,568,0,11,,,,,4,,,47,100
3456,note_on,,,,,568,0,14,,,,,6,,,47,100
3656,note_off,,,,,200,0,12,,,,,5,,,35,100
3656,note_off,,,,,200,0,10,,,,,3,,,71,100
3656,note_off,,,,,200,0,11,,,,,4,,,47,100
3656,note_off,,,,,0,0,13,,,,,6,,,63,100
3656,note_off,,,,,200,0,13,,,,,6,,,66,100
