tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,
0,control_change,,,,,0,0,4,,,,,5,91,127,,
0,control_change,,,,,0,0,4,,,,,5,10,60,,
0,control_change,,,,,0,0,4,,,,,5,7,127,,
0,program_change,,,,,0,0,4,,,,48,5,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,note_on,,,,,0,0,3,,,,,4,,,74,64
0,program_change,,,,,0,0,5,,,,48,6,,,,
0,control_change,,,,,0,0,3,,,,,4,91,127,,
0,control_change,,,,,0,0,3,,,,,4,7,127,,
0,program_change,,,,,0,0,3,,,,48,4,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,note_on,,,,,0,0,2,,,,,1,,,74,64
0,control_change,,,,,0,0,2,,,,,1,93,0,,
0,control_change,,,,,0,0,2,,,,,1,91,127,,
0,control_change,,,,,0,0,2,,,,,1,10,125,,
0,control_change,,,,,0,0,2,,,,,1,7,115,,
0,program_change,,,,,0,0,2,,,,40,1,,,,
0,control_change,,,,,0,0,3,,,,,4,10,15,,
0,control_change,,,,,0,0,5,,,,,6,7,127,,
0,control_change,,,,,0,0,5,,,,,6,10,88,,
0,control_change,,,,,0,0,5,,,,,6,91,127,,
0,midi_port,,,,,0,1,11,,,0,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,midi_port,,,,,0,1,10,,,0,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,
0,note_on,,,,,0,0,7,,,,,8,,,74,64
0,control_change,,,,,0,0,7,,,,,8,91,127,,
0,control_change,,,,,0,0,7,,,,,8,10,74,,
0,control_change,,,,,0,0,7,,,,,8,7,109,,
0,program_change,,,,,0,0,7,,,,48,8,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,
0,control_change,,,,,0,0,6,,,,,7,91,127,,
0,control_change,,,,,0,0,6,,,,,7,10,120,,
0,control_change,,,,,0,0,6,,,,,7,7,127,,
0,program_change,,,,,0,0,6,,,,48,7,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,end_of_track,,,,,0,1,11,,,,,,,,,
0,key_signature,,,,,0,1,0,F,,,,,,,,
0,set_tempo,,,,,0,1,0,,631579,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,program_change,,,,,0,0,1,,,,40,0,,,,
0,control_change,,,,,0,0,1,,,,,0,7,127,,
0,control_change,,,,,0,0,1,,,,,0,10,3,,
0,control_change,,,,,0,0,1,,,,,0,91,127,,
0,control_change,,,,,0,0,1,,,,,0,93,3,,
0,note_on,,,,,0,0,1,,,,,0,,,74,64
0,track_name,,,,,0,1,1,,,,,,,,,
445,note_on,,,,,445,0,2,,,,,1,,,74,0
445,note_on,,,,,445,0,1,,,,,0,,,74,0
445,note_on,,,,,445,0,3,,,,,4,,,74,0
445,note_on,,,,,445,0,7,,,,,8,,,74,0
480,note_on,,,,,35,0,1,,,,,0,,,69,64
480,note_on,,,,,35,0,3,,,,,4,,,69,64
480,note_on,,,,,35,0,2,,,,,1,,,69,64
480,note_on,,,,,35,0,7,,,,,8,,,69,64
925,note_on,,,,,445,0,1,,,,,0,,,69,0
925,note_on,,,,,445,0,2,,,,,1,,,69,0
925,note_on,,,,,445,0,7,,,,,8,,,69,0
925,note_on,,,,,445,0,3,,,,,4,,,69,0
960,note_on,,,,,35,0,2,,,,,1,,,62,64
960,note_on,,,,,35,0,7,,,,,8,,,62,64
960,note_on,,,,,35,0,3,,,,,4,,,62,64
960,note_on,,,,,35,0,1,,,,,0,,,62,64
1405,note_on,,,,,445,0,7,,,,,8,,,62,0
1405,note_on,,,,,445,0,3,,,,,4,,,62,0
1405,note_on,,,,,445,0,2,,,,,1,,,62,0
1405,note_on,,,,,445,0,1,,,,,0,,,62,0
1680,note_on,,,,,275,0,7,,,,,8,,,77,64
1680,note_on,,,,,275,0,1,,,,,0,,,77,64
1680,note_on,,,,,275,0,2,,,,,1,,,77,64
1680,note_on,,,,,275,0,3,,,,,4,,,77,64
1905,note_on,,,,,225,0,2,,,,,1,,,77,0
1905,note_on,,,,,225,0,7,,,,,8,,,77,0
1905,note_on,,,,,225,0,1,,,,,0,,,77,0
1905,note_on,,,,,225,0,3,,,,,4,,,77,0
1920,note_on,,,,,15,0,3,,,,,4,,,76,64
1920,note_on,,,,,15,0,1,,,,,0,,,76,64
1920,note_on,,,,,15,0,2,,,,,1,,,76,64
1920,note_on,,,,,15,0,7,,,,,8,,,76,64
2145,note_on,,,,,225,0,3,,,,,4,,,76,0
2145,note_on,,,,,225,0,1,,,,,0,,,76,0
2145,note_on,,,,,225,0,7,,,,,8,,,76,0
2145,note_on,,,,,225,0,2,,,,,1,,,76,0
2160,note_on,,,,,15,0,7,,,,,8,,,74,64
2160,note_on,,,,,15,0,3,,,,,4,,,74,64
2160,note_on,,,,,15,0,1,,,,,0,,,74,64
