tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,48,4,,,,
0,program_change,0,0,4,,,,,,,,48,4,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,time_signature,0,1,3,,,2,4,24,8,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,10,127,,
0,key_signature,0,1,3,,Bb,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,10,64,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,program_change,0,0,3,,,,,,,,48,2,,,,
0,program_change,0,0,3,,,,,,,,48,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,time_signature,0,1,7,,,2,4,24,8,,,,,,,
0,time_signature,0,1,2,,,2,4,24,8,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,10,0,,
0,key_signature,0,1,2,,Bb,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,,0,7,127,,
0,program_change,0,0,2,,,,,,,,48,0,,,,
0,program_change,0,0,2,,,,,,,,48,0,,,,
0,control_change,0,0,4,,,,,,,,,4,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,4,10,64,,
0,time_signature,0,1,4,,,2,4,24,8,,,,,,,
0,key_signature,0,1,7,,Bb,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,0,10,64,,
0,control_change,0,0,7,,,,,,,,,0,7,127,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,time_signature,0,1,6,,,2,4,24,8,,,,,,,
0,key_signature,0,1,6,,Bb,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,8,10,64,,
0,control_change,0,0,6,,,,,,,,,8,7,127,,
0,program_change,0,0,6,,,,,,,,48,8,,,,
0,program_change,0,0,6,,,,,,,,48,8,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,time_signature,0,1,5,,,2,4,24,8,,,,,,,
0,key_signature,0,1,5,,Bb,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,6,10,64,,
0,control_change,0,0,5,,,,,,,,,6,7,127,,
0,program_change,0,0,5,,,,,,,,48,6,,,,
0,program_change,0,0,5,,,,,,,,48,6,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,key_signature,0,1,4,,Bb,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,252100,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,40,11,,,,
0,program_change,0,0,1,,,,,,,,40,11,,,,
0,control_change,0,0,1,,,,,,,,,11,10,64,,
0,control_change,0,0,1,,,,,,,,,11,10,127,,
0,key_signature,0,1,1,,Bb,,,,,,,,,,,
0,time_signature,0,1,1,,,2,4,24,8,,,,,,,
0,control_change,0,0,1,,,,,,,,,11,7,127,,
0,time_signature,0,1,0,,,2,4,24,8,,,,,,,
0,key_signature,0,1,0,,Bb,,,,,,,,,,,
384,set_tempo,384,1,0,500000,,,,,,,,,,,,
768,program_change,768,0,4,,,,,,,,48,4,,,,
768,program_change,768,0,2,,,,,,,,48,0,,,,
768,program_change,768,0,1,,,,,,,,40,11,,,,
768,program_change,768,0,3,,,,,,,,48,2,,,,
768,program_change,768,0,5,,,,,,,,48,6,,,,
768,program_change,768,0,6,,,,,,,,48,8,,,,
1056,note_on,288,0,1,,,,,,,,,11,,,75,110
1056,note_on,288,0,4,,,,,,,,,4,,,67,92
1056,note_on,288,0,2,,,,,,,,,0,,,75,110
1056,note_on,288,0,3,,,,,,,,,2,,,72,110
1150,note_on,94,0,2,,,,,,,,,0,,,75,0
1150,note_on,94,0,3,,,,,,,,,2,,,72,0
1150,note_on,94,0,1,,,,,,,,,11,,,75,0
1150,note_on,94,0,4,,,,,,,,,4,,,67,0
1152,note_on,2,0,4,,,,,,,,,4,,,67,92
