tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,note,velocity,key
0,time_signature,3,4,96,8,0,1,0,,,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,control_change,,,,,0,0,13,,,0,0,6,,,,
0,program_change,,,,,0,0,13,,,,,6,6,,,
0,control_change,,,,,0,0,13,,,7,55,6,,,,
0,control_change,,,,,0,0,13,,,91,64,6,,,,
0,key_signature,,,,,0,1,13,,,,,,,,,C
0,track_name,,,,,0,1,14,,,,,,,,,
0,control_change,,,,,0,0,14,,,0,0,6,,,,
0,program_change,,,,,0,0,14,,,,,6,6,,,
0,control_change,,,,,0,0,14,,,7,55,6,,,,
0,control_change,,,,,0,0,14,,,91,64,6,,,,
0,key_signature,,,,,0,1,14,,,,,,,,,C
0,control_change,,,,,0,0,7,,,91,61,0,,,,
0,control_change,,,,,0,0,7,,,10,53,0,,,,
0,control_change,,,,,0,0,7,,,7,100,0,,,,
0,program_change,,,,,0,0,7,,,,,0,40,,,
0,control_change,,,,,0,0,7,,,0,0,0,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,6,,,91,61,0,,,,
0,control_change,,,,,0,0,6,,,10,53,0,,,,
0,control_change,,,,,0,0,6,,,7,100,0,,,,
0,program_change,,,,,0,0,6,,,,,0,40,,,
0,control_change,,,,,0,0,6,,,0,0,0,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,5,,,91,61,0,,,,
0,control_change,,,,,0,0,5,,,10,53,0,,,,
0,control_change,,,,,0,0,5,,,7,100,0,,,,
0,key_signature,,,,,0,1,12,,,,,,,,,C
0,program_change,,,,,0,0,5,,,,,0,40,,,
0,control_change,,,,,0,0,12,,,91,64,5,,,,
0,control_change,,,,,0,0,12,,,7,77,5,,,,
0,program_change,,,,,0,0,9,,,,,2,48,,,
0,control_change,,,,,0,0,9,,,7,100,2,,,,
0,control_change,,,,,0,0,9,,,10,42,2,,,,
0,control_change,,,,,0,0,9,,,91,63,2,,,,
0,key_signature,,,,,0,1,9,,,,,,,,,C
0,key_signature,,,,,0,1,8,,,,,,,,,C
0,control_change,,,,,0,0,8,,,91,61,1,,,,
0,control_change,,,,,0,0,8,,,10,53,1,,,,
0,control_change,,,,,0,0,8,,,7,100,1,,,,
0,program_change,,,,,0,0,8,,,,,1,40,,,
0,control_change,,,,,0,0,8,,,0,0,1,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,control_change,,,,,0,0,10,,,0,0,3,,,,
0,program_change,,,,,0,0,10,,,,,3,48,,,
0,control_change,,,,,0,0,10,,,7,95,3,,,,
0,control_change,,,,,0,0,10,,,91,67,3,,,,
0,key_signature,,,,,0,1,10,,,,,,,,,C
0,track_name,,,,,0,1,11,,,,,,,,,
0,control_change,,,,,0,0,11,,,0,0,4,,,,
0,program_change,,,,,0,0,11,,,,,4,48,,,
0,control_change,,,,,0,0,11,,,7,82,4,,,,
0,control_change,,,,,0,0,11,,,10,82,4,,,,
0,control_change,,,,,0,0,11,,,91,62,4,,,,
0,key_signature,,,,,0,1,11,,,,,,,,,C
0,control_change,,,,,0,0,9,,,0,0,2,,,,
0,track_name,,,,,0,1,12,,,,,,,,,
0,control_change,,,,,0,0,12,,,0,0,5,,,,
0,program_change,,,,,0,0,12,,,,,5,48,,,
0,control_change,,,,,0,0,12,,,10,93,5,,,,
0,control_change,,,,,0,0,5,,,0,0,0,,,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 1)",,,,,,,,
0,set_tempo,,,,,0,1,0,,468750,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,end_of_track,,,,,0,1,1,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,3,,,0,0,0,,,,
0,control_change,,,,,0,0,3,,,7,100,0,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,3,,,91,61,0,,,,
0,program_change,,,,,0,0,3,,,,,0,40,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,0,,,,
0,program_change,,,,,0,0,4,,,,,0,40,,,
0,control_change,,,,,0,0,4,,,7,100,0,,,,
0,control_change,,,,,0,0,4,,,91,61,0,,,,
0,control_change,,,,,0,0,4,,,10,53,0,,,,
0,control_change,,,,,0,0,3,,,10,53,0,,,,
192,note_on,,,,,192,0,9,,,,,2,,69,100,
320,note_off,,,,,128,0,9,,,,,2,,69,100,
384,note_on,,,,,64,0,9,,,,,2,,67,100,
512,note_off,,,,,128,0,9,,,,,2,,67,100,
576,note_on,,,,,64,0,9,,,,,2,,65,100,
704,note_off,,,,,128,0,9,,,,,2,,65,100,
768,note_on,,,,,64,0,9,,,,,2,,64,100,
896,note_off,,,,,128,0,9,,,,,2,,64,100,
960,note_on,,,,,64,0,9,,,,,2,,62,100,
1088,note_off,,,,,128,0,9,,,,,2,,62,100,
1152,note_on,,,,,64,0,9,,,,,2,,60,100,
1280,note_off,,,,,128,0,9,,,,,2,,60,100,
1344,note_on,,,,,64,0,9,,,,,2,,65,100,
1472,note_off,,,,,128,0,9,,,,,2,,65,100,
1536,note_on,,,,,64,0,9,,,,,2,,64,100,
1664,note_off,,,,,128,0,9,,,,,2,,64,100,
1728,note_on,,,,,64,0,9,,,,,2,,62,100,
1856,note_off,,,,,128,0,9,,,,,2,,62,100,
