tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,48,4,,,,
0,program_change,0,0,4,,,,,,,48,4,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,0,,,,,,
0,time_signature,0,1,7,,4,4,24,8,,,,,,,
0,time_signature,0,1,3,,4,4,24,8,,,,,,,
0,control_change,0,0,3,,,,,,,,2,10,64,,
0,control_change,0,0,3,,,,,,,,2,7,127,,
0,program_change,0,0,3,,,,,,,48,2,,,,
0,program_change,0,0,3,,,,,,,48,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,0,,,,,,
0,time_signature,0,1,2,,4,4,24,8,,,,,,,
0,control_change,0,0,2,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,0,7,127,,
0,program_change,0,0,2,,,,,,,48,0,,,,
0,program_change,0,0,2,,,,,,,48,0,,,,
0,control_change,0,0,4,,,,,,,,4,7,120,,
0,track_name,0,1,2,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,4,10,64,,
0,midi_port,0,1,5,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,,0,10,64,,
0,control_change,0,0,7,,,,,,,,0,7,127,,
0,track_name,0,1,7,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,0,,,,,,
0,time_signature,0,1,6,,4,4,24,8,,,,,,,
0,control_change,0,0,6,,,,,,,,8,10,64,,
0,control_change,0,0,6,,,,,,,,8,7,120,,
0,program_change,0,0,6,,,,,,,48,8,,,,
0,program_change,0,0,6,,,,,,,48,8,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,0,,,,,,
0,time_signature,0,1,5,,4,4,24,8,,,,,,,
0,control_change,0,0,5,,,,,,,,6,10,64,,
0,control_change,0,0,5,,,,,,,,6,7,120,,
0,program_change,0,0,5,,,,,,,48,6,,,,
0,program_change,0,0,5,,,,,,,48,6,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,time_signature,0,1,4,,4,4,24,8,,,,,,,
0,midi_port,0,1,2,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,
0,control_change,0,0,1,,,,,,,,11,10,64,,
0,time_signature,0,1,1,,4,4,24,8,,,,,,,
0,set_tempo,0,1,0,251046,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,11,7,127,,
0,program_change,0,0,1,,,,,,,68,11,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,0,,,,,,
768,set_tempo,768,1,0,521739,,,,,,,,,,,
1152,program_change,1152,0,4,,,,,,,48,4,,,,
1152,program_change,1152,0,2,,,,,,,48,0,,,,
1152,program_change,1152,0,6,,,,,,,48,8,,,,
1152,program_change,1152,0,5,,,,,,,48,6,,,,
1152,program_change,1152,0,3,,,,,,,48,2,,,,
1440,note_on,288,0,5,,,,,,,,6,,,48,92
1440,note_on,288,0,2,,,,,,,,0,,,72,110
1440,note_on,288,0,3,,,,,,,,2,,,76,110
1440,note_on,288,0,4,,,,,,,,4,,,67,75
1440,note_on,288,0,6,,,,,,,,8,,,36,92
1534,note_on,94,0,5,,,,,,,,6,,,48,0
1534,note_on,94,0,6,,,,,,,,8,,,36,0
1534,note_on,94,0,2,,,,,,,,0,,,72,0
1534,note_on,94,0,4,,,,,,,,4,,,67,0
1534,note_on,94,0,3,,,,,,,,2,,,76,0
1536,note_on,2,0,4,,,,,,,,4,,,67,75
1536,note_on,2,0,5,,,,,,,,6,,,48,92
1536,note_on,2,0,6,,,,,,,,8,,,36,92
1536,note_on,2,0,3,,,,,,,,2,,,76,110
1536,note_on,2,0,2,,,,,,,,0,,,72,110
1630,note_on,94,0,6,,,,,,,,8,,,36,0
1630,note_on,94,0,5,,,,,,,,6,,,48,0
1632,note_on,2,0,6,,,,,,,,8,,,48,92
1632,note_on,2,0,5,,,,,,,,6,,,60,92
1678,note_on,46,0,5,,,,,,,,6,,,60,0
1678,note_on,46,0,6,,,,,,,,8,,,48,0
1680,note_on,2,0,6,,,,,,,,8,,,47,92
1680,note_on,2,0,5,,,,,,,,6,,,59,92
1726,note_on,46,0,6,,,,,,,,8,,,47,0
1726,note_on,46,0,5,,,,,,,,6,,,59,0
