tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,6,8,96,8,0,1,0,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,Bm,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,6,,,0,0,0,,,,
0,program_change,,,,,0,0,6,,,,,0,48,,,
0,control_change,,,,,0,0,6,,,7,100,0,,,,
0,control_change,,,,,0,0,6,,,10,56,0,,,,
0,control_change,,,,,0,0,6,,,91,60,0,,,,
0,key_signature,,,,,0,1,6,,,,,,,Bm,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,control_change,,,,,0,0,7,,,0,0,0,,,,
0,program_change,,,,,0,0,7,,,,,0,48,,,
0,control_change,,,,,0,0,7,,,7,100,0,,,,
0,control_change,,,,,0,0,7,,,10,56,0,,,,
0,control_change,,,,,0,0,7,,,91,60,0,,,,
0,key_signature,,,,,0,1,7,,,,,,,Bm,,
0,note_on,,,,,0,0,7,,,,,0,,,71,115
0,track_name,,,,,0,1,8,,,,,,,,,
0,control_change,,,,,0,0,8,,,0,0,1,,,,
0,program_change,,,,,0,0,8,,,,,1,48,,,
0,control_change,,,,,0,0,8,,,7,100,1,,,,
0,control_change,,,,,0,0,8,,,10,47,1,,,,
0,control_change,,,,,0,0,8,,,91,67,1,,,,
0,key_signature,,,,,0,1,8,,,,,,,Bm,,
0,note_on,,,,,0,0,8,,,,,1,,,71,50
0,control_change,,,,,0,0,3,,,91,60,0,,,,
0,control_change,,,,,0,0,5,,,91,60,0,,,,
0,control_change,,,,,0,0,5,,,10,56,0,,,,
0,control_change,,,,,0,0,5,,,7,100,0,,,,
0,program_change,,,,,0,0,5,,,,,0,48,,,
0,control_change,,,,,0,0,3,,,10,56,0,,,,
0,control_change,,,,,0,0,3,,,7,100,0,,,,
0,control_change,,,,,0,0,3,,,0,0,0,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,1,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,Bm,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,control_change,,,,,0,0,13,,,0,0,6,,,,
0,program_change,,,,,0,0,13,,,,,6,48,,,
0,control_change,,,,,0,0,13,,,7,85,6,,,,
0,note_on,,,,,0,0,12,,,,,5,,,47,100
0,control_change,,,,,0,0,13,,,10,89,6,,,,
