tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,3,7,127,,
0,control_change,0,0,2,,,,,,,,3,10,39,,
0,note_on,0,0,2,,,,,,,,3,,,70,110
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,48,4,,,,
0,control_change,0,0,3,,,,,,,,4,7,127,,
0,control_change,0,0,3,,,,,,,,4,10,43,,
0,note_on,0,0,3,,,,,,,,4,,,70,110
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,48,1,,,,
0,control_change,0,0,4,,,,,,,,1,7,127,,
0,control_change,0,0,4,,,,,,,,1,10,82,,
0,note_on,0,0,4,,,,,,,,1,,,62,75
0,track_name,0,1,5,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,48,2,,,,
0,control_change,0,0,5,,,,,,,,2,7,127,,
0,control_change,0,0,5,,,,,,,,2,10,98,,
0,note_on,0,0,5,,,,,,,,2,,,58,75
0,track_name,0,1,6,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,48,5,,,,
0,control_change,0,0,6,,,,,,,,5,7,127,,
0,control_change,0,0,6,,,,,,,,5,10,73,,
0,note_on,0,0,6,,,,,,,,5,,,46,75
0,program_change,0,0,2,,,,,,,48,3,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,64,,
0,note_on,0,0,1,,,,,,,,0,,,70,110
0,program_change,0,0,1,,,,,,,40,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,7,100,,
0,copyright,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,555556,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
94,note_on,94,0,6,,,,,,,,5,,,46,0
94,note_on,94,0,4,,,,,,,,1,,,62,0
94,note_on,94,0,5,,,,,,,,2,,,58,0
96,note_on,2,0,4,,,,,,,,1,,,62,75
96,note_on,2,0,5,,,,,,,,2,,,58,75
96,note_on,2,0,6,,,,,,,,5,,,46,75
142,note_on,46,0,5,,,,,,,,2,,,58,0
142,note_on,46,0,4,,,,,,,,1,,,62,0
142,note_on,46,0,6,,,,,,,,5,,,46,0
144,note_on,2,0,4,,,,,,,,1,,,63,75
144,note_on,2,0,6,,,,,,,,5,,,48,75
144,note_on,2,0,5,,,,,,,,2,,,60,75
190,note_on,46,0,5,,,,,,,,2,,,60,0
190,note_on,46,0,6,,,,,,,,5,,,48,0
190,note_on,46,0,4,,,,,,,,1,,,63,0
192,note_on,2,0,4,,,,,,,,1,,,65,75
192,note_on,2,0,5,,,,,,,,2,,,62,75
192,note_on,2,0,6,,,,,,,,5,,,50,75
238,note_on,238,0,3,,,,,,,,4,,,70,0
238,note_on,238,0,1,,,,,,,,0,,,70,0
238,note_on,238,0,2,,,,,,,,3,,,70,0
240,note_on,2,0,2,,,,,,,,3,,,70,110
240,note_on,2,0,1,,,,,,,,0,,,70,110
240,note_on,2,0,3,,,,,,,,4,,,70,110
286,note_on,94,0,5,,,,,,,,2,,,62,0
286,note_on,46,0,1,,,,,,,,0,,,70,0
286,note_on,46,0,2,,,,,,,,3,,,70,0
286,note_on,46,0,3,,,,,,,,4,,,70,0
286,note_on,94,0,6,,,,,,,,5,,,50,0
286,note_on,94,0,4,,,,,,,,1,,,65,0
288,note_on,2,0,4,,,,,,,,1,,,62,75
288,note_on,2,0,6,,,,,,,,5,,,46,75
288,note_on,2,0,1,,,,,,,,0,,,82,110
288,note_on,2,0,3,,,,,,,,4,,,82,110
288,note_on,2,0,5,,,,,,,,2,,,58,75
288,note_on,2,0,2,,,,,,,,3,,,82,110
334,note_on,46,0,2,,,,,,,,3,,,82,0
334,note_on,46,0,3,,,,,,,,4,,,82,0
334,note_on,46,0,1,,,,,,,,0,,,82,0
336,note_on,2,0,1,,,,,,,,0,,,70,110
336,note_on,2,0,2,,,,,,,,3,,,70,110
