tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,2,7,100,,
0,program_change,0,0,5,,,,,,,,48,2,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,time_signature,0,1,4,,,3,4,24,8,,,,,,,
0,key_signature,0,1,4,,A,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,1,10,127,,
0,control_change,0,0,4,,,,,,,,,1,7,127,,
0,program_change,0,0,4,,,,,,,,48,1,,,,
0,program_change,0,0,4,,,,,,,,48,1,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,3,,,,,,,,,0,,,81,110
0,control_change,0,0,3,,,,,,,,,0,10,64,,
0,time_signature,0,1,3,,,3,4,24,8,,,,,,,
0,key_signature,0,1,3,,A,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,10,0,,
0,control_change,0,0,3,,,,,,,,,0,7,127,,
0,program_change,0,0,3,,,,,,,,48,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,10,,,,,,,,,10,10,64,,
0,note_on,0,0,2,,,,,,,,,6,,,57,110
0,time_signature,0,1,2,,,3,4,24,8,,,,,,,
0,key_signature,0,1,2,,A,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,6,10,64,,
0,control_change,0,0,2,,,,,,,,,6,7,127,,
0,program_change,0,0,2,,,,,,,,6,6,,,,
0,program_change,0,0,2,,,,,,,,6,6,,,,
0,control_change,0,0,5,,,,,,,,,2,10,0,,
0,key_signature,0,1,5,,A,,,,,,,,,,,
0,time_signature,0,1,5,,,3,4,24,8,,,,,,,
0,note_on,0,0,5,,,,,,,,,2,,,61,60
0,control_change,0,0,10,,,,,,,,,10,7,127,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,9,10,64,,
0,control_change,0,0,9,,,,,,,,,9,7,127,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,8,10,64,,
0,control_change,0,0,8,,,,,,,,,8,7,127,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,note_on,0,0,7,,,,,,,,,7,,,45,60
0,track_name,0,1,2,,,,,,,,,,,,,
0,time_signature,0,1,7,,,3,4,24,8,,,,,,,
0,key_signature,0,1,7,,A,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,7,10,64,,
0,control_change,0,0,7,,,,,,,,,7,7,100,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,note_on,0,0,6,,,,,,,,,3,,,57,60
0,time_signature,0,1,6,,,3,4,24,8,,,,,,,
0,key_signature,0,1,6,,A,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,3,10,64,,
0,control_change,0,0,6,,,,,,,,,3,7,100,,
0,program_change,0,0,6,,,,,,,,48,3,,,,
0,program_change,0,0,6,,,,,,,,48,3,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,program_change,0,0,7,,,,,,,,48,7,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,5,,,81,110
0,note_on,0,0,1,,,,,,,,,5,,,76,110
0,time_signature,0,1,0,,,3,4,24,8,,,,,,,
0,key_signature,0,1,0,,A,,,,,,,,,,,
0,set_tempo,0,1,0,480000,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
