tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,4,10,64,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,6,5,,,,
0,control_change,0,0,6,,,,,,,,,5,7,127,,
0,control_change,0,0,6,,,,,,,,,5,10,64,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,6,5,,,,
0,control_change,0,0,7,,,,,,,,,5,7,127,,
0,control_change,0,0,7,,,,,,,,,5,10,64,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,42,7,,,,
0,control_change,0,0,5,,,,,,,,,4,7,127,,
0,control_change,0,0,8,,,,,,,,,7,7,127,,
0,program_change,0,0,5,,,,,,,,41,4,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,program_change,0,0,3,,,,,,,,40,2,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,64,,
0,note_on,0,0,3,,,,,,,,,2,,,79,92
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,40,3,,,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,64,,
0,note_on,0,0,4,,,,,,,,,3,,,79,92
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,70,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,7,10,64,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,68,0,,,,
0,note_on,0,0,1,,,,,,,,,0,,,79,92
0,time_signature,0,1,0,,,12,8,24,8,,,,,,,
0,key_signature,0,1,0,,G,,,,,,,,,,,
0,set_tempo,0,1,0,535714,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
94,note_on,94,0,3,,,,,,,,,2,,,79,0
94,note_on,94,0,1,,,,,,,,,0,,,79,0
94,note_on,94,0,4,,,,,,,,,3,,,79,0
96,note_on,2,0,1,,,,,,,,,0,,,67,92
96,note_on,2,0,3,,,,,,,,,2,,,67,92
96,note_on,2,0,4,,,,,,,,,3,,,67,92
190,note_on,94,0,3,,,,,,,,,2,,,67,0
190,note_on,94,0,1,,,,,,,,,0,,,67,0
190,note_on,94,0,4,,,,,,,,,3,,,67,0
192,note_on,2,0,1,,,,,,,,,0,,,67,92
192,note_on,2,0,4,,,,,,,,,3,,,67,92
192,note_on,2,0,3,,,,,,,,,2,,,67,92
286,note_on,94,0,3,,,,,,,,,2,,,67,0
286,note_on,94,0,1,,,,,,,,,0,,,67,0
286,note_on,94,0,4,,,,,,,,,3,,,67,0
288,note_on,2,0,1,,,,,,,,,0,,,79,92
