tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,channel,tempo,program,note,velocity
0,track_name,0,1,0,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,
0,channel_prefix,0,1,0,,,,,0,,,,
0,copyright,0,1,0,,,,,,,,,
0,channel_prefix,0,1,0,,,,,0,,,,
0,track_name,0,1,0,,,,,,,,,
0,channel_prefix,0,1,0,,,,,0,,,,
0,instrument_name,0,1,0,,,,,,,,,
0,set_tempo,0,1,0,,,,,,555555,,,
0,program_change,0,0,0,,,,,0,,40,,
0,note_on,0,0,0,,,,,0,,,74,96
0,channel_prefix,0,1,0,,,,,1,,,,
0,track_name,0,1,0,,,,,,,,,
0,channel_prefix,0,1,0,,,,,1,,,,
0,instrument_name,0,1,0,,,,,,,,,
0,program_change,0,0,0,,,,,1,,40,,
0,note_on,0,0,0,,,,,1,,,74,96
0,channel_prefix,0,1,0,,,,,2,,,,
0,track_name,0,1,0,,,,,,,,,
0,channel_prefix,0,1,0,,,,,2,,,,
0,instrument_name,0,1,0,,,,,,,,,
0,program_change,0,0,0,,,,,2,,40,,
0,channel_prefix,0,1,0,,,,,3,,,,
0,track_name,0,1,0,,,,,,,,,
0,channel_prefix,0,1,0,,,,,3,,,,
0,instrument_name,0,1,0,,,,,,,,,
0,program_change,0,0,0,,,,,3,,41,,
0,channel_prefix,0,1,0,,,,,4,,,,
0,track_name,0,1,0,,,,,,,,,
0,channel_prefix,0,1,0,,,,,4,,,,
0,instrument_name,0,1,0,,,,,,,,,
0,program_change,0,0,0,,,,,4,,42,,
42,note_off,42,0,0,,,,,0,,,74,0
42,note_off,0,0,0,,,,,1,,,74,0
48,note_on,6,0,0,,,,,0,,,74,96
48,note_on,0,0,0,,,,,1,,,74,96
90,note_off,42,0,0,,,,,0,,,74,0
90,note_off,0,0,0,,,,,1,,,74,0
96,note_on,6,0,0,,,,,0,,,74,96
96,note_on,0,0,0,,,,,1,,,74,96
148,note_off,52,0,0,,,,,0,,,74,0
148,note_off,0,0,0,,,,,1,,,74,0
156,note_on,8,0,0,,,,,0,,,76,96
156,note_on,0,0,0,,,,,1,,,76,96
166,note_off,10,0,0,,,,,0,,,76,0
166,note_off,0,0,0,,,,,1,,,76,0
168,note_on,2,0,0,,,,,0,,,78,96
168,note_on,0,0,0,,,,,1,,,78,96
