tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,7,100,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,121,0,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,,
0,time_signature,0,1,0,,,,,,,3,8,12,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,600000,,,,,,,
96,note_on,96,0,1,,,,,,,,,,,,,,,0,,,36,127
288,note_on,192,0,1,,,,,,,,,,,,,,,0,,,79,127
288,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,127
479,note_on,191,0,1,,,,,,,,,,,,,,,0,,,76,0
479,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
480,note_on,1,0,1,,,,,,,,,,,,,,,0,,,79,127
480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,127
671,note_on,191,0,1,,,,,,,,,,,,,,,0,,,76,0
671,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
672,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,127
672,note_on,1,0,1,,,,,,,,,,,,,,,0,,,79,127
863,note_on,191,0,1,,,,,,,,,,,,,,,0,,,76,0
863,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
864,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,127
864,note_on,1,0,1,,,,,,,,,,,,,,,0,,,72,127
1055,note_on,191,0,1,,,,,,,,,,,,,,,0,,,76,0
1055,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
1056,note_on,1,0,1,,,,,,,,,,,,,,,0,,,79,127
1056,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,127
1247,note_on,191,0,1,,,,,,,,,,,,,,,0,,,76,0
1247,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
1248,note_on,1,0,1,,,,,,,,,,,,,,,0,,,36,0
1248,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,127
1248,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,127
1439,note_on,191,0,1,,,,,,,,,,,,,,,0,,,76,0
1439,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
1440,note_on,1,0,1,,,,,,,,,,,,,,,0,,,76,127
1440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,127
1631,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,0
1631,note_on,191,0,1,,,,,,,,,,,,,,,0,,,72,0
1632,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,127
1632,note_on,1,0,1,,,,,,,,,,,,,,,0,,,79,127
1823,note_on,191,0,1,,,,,,,,,,,,,,,0,,,76,0
1823,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
1824,note_on,1,0,1,,,,,,,,,,,,,,,0,,,76,127
1824,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,127
2016,note_on,192,0,1,,,,,,,,,,,,,,,0,,,69,127
2016,note_on,0,0,1,,,,,,,,,,,,,,,0,,,81,127
