tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,2,7,127,,,
0,control_change,0,0,3,,,,,,,,2,10,39,,,
0,control_change,0,0,3,,,,,,,,2,91,127,,,
0,program_change,0,0,3,,,,,,,,2,,,60,,
0,program_change,0,0,4,,,,,,,,3,,,48,,
0,control_change,0,0,4,,,,,,,,3,91,124,,,
0,control_change,0,0,4,,,,,,,,3,10,0,,,
0,control_change,0,0,4,,,,,,,,3,7,127,,,
0,channel_prefix,0,1,4,,,,,,,,3,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,channel_prefix,0,1,3,,,,,,,,2,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,channel_prefix,0,1,8,,,,,,,,7,,,,,
0,control_change,0,0,8,,,,,,,,7,7,127,,,
0,control_change,0,0,8,,,,,,,,7,10,127,,,
0,control_change,0,0,8,,,,,,,,7,91,127,,,
0,program_change,0,0,8,,,,,,,,7,,,48,,
0,program_change,0,0,1,,,,,,,,0,,,71,,
0,control_change,0,0,1,,,,,,,,0,91,127,,,
0,control_change,0,0,1,,,,,,,,0,10,89,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,,
0,channel_prefix,0,1,1,,,,,,,,0,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,1,,,70,,
0,control_change,0,0,2,,,,,,,,1,91,127,,,
0,program_change,0,0,6,,,,,,,,5,,,48,,
0,control_change,0,0,6,,,,,,,,5,91,123,,,
0,control_change,0,0,6,,,,,,,,5,10,64,,,
0,control_change,0,0,6,,,,,,,,5,7,127,,,
0,channel_prefix,0,1,6,,,,,,,,5,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,program_change,0,0,5,,,,,,,,4,,,48,,
0,control_change,0,0,5,,,,,,,,4,91,124,,,
0,control_change,0,0,5,,,,,,,,4,10,32,,,
0,control_change,0,0,5,,,,,,,,4,7,127,,,
0,channel_prefix,0,1,5,,,,,,,,4,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,channel_prefix,0,1,7,,,,,,,,6,,,,,
0,control_change,0,0,7,,,,,,,,6,7,127,,,
0,control_change,0,0,7,,,,,,,,6,10,96,,,
0,control_change,0,0,7,,,,,,,,6,91,127,,,
0,program_change,0,0,7,,,,,,,,6,,,48,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,channel_prefix,0,1,2,,,,,,,,1,,,,,
0,control_change,0,0,2,,,,,,,,1,7,127,,,
0,control_change,0,0,2,,,,,,,,1,10,64,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,500000,,,,,,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,,
360,set_tempo,360,1,0,229007,,,,,,,,,,,,
360,note_on,360,0,7,,,,,,,,6,,,,48,45
360,note_on,360,0,4,,,,,,,,3,,,,60,45
360,program_change,360,0,6,,,,,,,,5,,,49,,
360,note_on,0,0,6,,,,,,,,5,,,,60,45
360,note_on,360,0,8,,,,,,,,7,,,,36,45
520,note_on,0,0,7,,,,,,,,6,,,,50,45
520,note_off,160,0,8,,,,,,,,7,,,,36,64
520,note_on,0,0,6,,,,,,,,5,,,,62,45
520,note_off,160,0,6,,,,,,,,5,,,,60,64
520,note_on,0,0,8,,,,,,,,7,,,,38,45
520,note_off,160,0,7,,,,,,,,6,,,,48,64
520,note_on,0,0,4,,,,,,,,3,,,,62,45
520,note_off,160,0,4,,,,,,,,3,,,,60,64
680,note_off,160,0,6,,,,,,,,5,,,,62,64
680,note_on,0,0,6,,,,,,,,5,,,,64,45
680,note_off,160,0,7,,,,,,,,6,,,,50,64
680,note_on,0,0,7,,,,,,,,6,,,,52,45
680,note_on,0,0,4,,,,,,,,3,,,,64,45
680,note_off,160,0,8,,,,,,,,7,,,,38,64
680,note_off,160,0,4,,,,,,,,3,,,,62,64
680,note_on,0,0,8,,,,,,,,7,,,,40,45
840,note_off,160,0,7,,,,,,,,6,,,,52,64
840,note_on,0,0,8,,,,,,,,7,,,,41,45
840,note_on,0,0,7,,,,,,,,6,,,,53,45
840,note_off,160,0,8,,,,,,,,7,,,,40,64
840,set_tempo,480,1,0,229007,,,,,,,,,,,,
840,note_on,0,0,4,,,,,,,,3,,,,65,45
840,note_off,160,0,6,,,,,,,,5,,,,64,64
840,program_change,0,0,6,,,,,,,,5,,,50,,
840,note_on,0,0,6,,,,,,,,5,,,,65,45
840,note_off,160,0,4,,,,,,,,3,,,,64,64
1345,note_off,505,0,8,,,,,,,,7,,,,41,64
1345,note_off,505,0,6,,,,,,,,5,,,,65,64
1345,note_off,505,0,4,,,,,,,,3,,,,65,64
1345,note_off,505,0,7,,,,,,,,6,,,,53,64
1560,note_on,215,0,7,,,,,,,,6,,,,53,45
1560,note_on,215,0,4,,,,,,,,3,,,,65,45
1560,note_on,215,0,8,,,,,,,,7,,,,41,45
1560,note_on,215,0,6,,,,,,,,5,,,,65,45
1640,note_off,80,0,4,,,,,,,,3,,,,65,64
1640,note_off,80,0,6,,,,,,,,5,,,,65,64
1640,note_off,80,0,7,,,,,,,,6,,,,53,64
1640,note_off,80,0,8,,,,,,,,7,,,,41,64
