tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,3,,,,,,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,,,,,,71,2,,,,
0,instrument_name,0,1,4,,,,,,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,,,,,68,3,,,,
0,instrument_name,0,1,5,,,,,,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,,,,,,65,4,,,,
0,program_change,0,0,2,,,,,,,,,,,,,0,1,,,,
0,program_change,0,0,1,,,,,,,,,,,,,0,0,,,,
0,instrument_name,0,1,1,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,2,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,0,0,0,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,Gm,,,,,,
0,time_signature,0,1,0,,,,,,,,4,4,24,8,,,,,,,
0,set_tempo,0,1,0,,,,,,,394736,,,,,,,,,,,
30,control_change,30,0,2,,,,,,,,,,,,,,1,7,110,,
30,control_change,30,0,1,,,,,,,,,,,,,,0,7,110,,
40,control_change,40,0,3,,,,,,,,,,,,,,2,11,114,,
40,control_change,40,0,4,,,,,,,,,,,,,,3,11,114,,
50,control_change,20,0,2,,,,,,,,,,,,,,1,11,112,,
180,control_change,150,0,1,,,,,,,,,,,,,,0,11,90,,
200,control_change,20,0,1,,,,,,,,,,,,,,0,91,114,,
200,control_change,160,0,3,,,,,,,,,,,,,,2,91,114,,
200,control_change,150,0,2,,,,,,,,,,,,,,1,91,114,,
200,control_change,200,0,5,,,,,,,,,,,,,,4,91,114,,
200,control_change,160,0,4,,,,,,,,,,,,,,3,91,114,,
280,control_change,80,0,5,,,,,,,,,,,,,,4,7,112,,
280,control_change,80,0,3,,,,,,,,,,,,,,2,7,112,,
370,control_change,90,0,5,,,,,,,,,,,,,,4,11,100,,
380,control_change,180,0,4,,,,,,,,,,,,,,3,7,108,,
1920,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
1920,note_on,1720,0,1,,,,,,,,,,,,,,0,,,55,90
2060,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
2060,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
2080,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
2080,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
2220,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
2220,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
2240,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
2240,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
2380,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
2380,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
2400,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
2400,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
2540,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
2540,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
2560,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
2560,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
2700,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
2700,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
2720,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
2720,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
2860,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
2860,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
2880,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
