tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,note,velocity,pitch,data
0,set_tempo,375000,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,,,
0,text,,0,1,10,,,,,,,,,,,,,,
0,text,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,,,
0,midi_port,,0,1,15,,,,,,0,,,,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,0,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,0,,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,0,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,0,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,Bm,,,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,C,,,,,,,,,
0,key_signature,,0,1,0,,,,,F,,,,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,,,,
6,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 127, 0, 0, 0, 1)"
6,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
