tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity
0,time_signature,2,4,24,8,0,1,0,,,,,,
0,program_change,,,,,0,0,1,,,0,0,,
0,program_change,,,,,0,0,2,,,0,1,,
0,track_name,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,1,,,,,,
0,set_tempo,,,,,0,1,0,,535714,,,,
0,set_tempo,,,,,0,1,0,,535714,,,,
0,key_signature,,,,,0,1,0,C#m,,,,,
1536,note_on,,,,,1536,0,1,,,,0,68,82
2048,note_on,,,,,2048,0,2,,,,1,49,89
2048,note_on,,,,,0,0,1,,,,0,64,104
2048,note_off,,,,,512,0,1,,,,0,68,0
2304,note_off,,,,,256,0,1,,,,0,64,0
2304,note_on,,,,,0,0,1,,,,0,61,106
2560,note_off,,,,,256,0,1,,,,0,61,0
2560,note_on,,,,,0,0,1,,,,0,64,106
2560,note_on,,,,,0,0,2,,,,1,56,91
2560,note_off,,,,,512,0,2,,,,1,49,0
2765,note_off,,,,,205,0,2,,,,1,56,0
2816,note_on,,,,,0,0,1,,,,0,68,108
2816,note_off,,,,,256,0,1,,,,0,64,0
3072,note_on,,,,,307,0,2,,,,1,49,94
3072,note_on,,,,,0,0,1,,,,0,64,109
3072,note_off,,,,,256,0,1,,,,0,68,0
3277,note_off,,,,,205,0,2,,,,1,49,0
3328,note_off,,,,,256,0,1,,,,0,64,0
3328,note_on,,,,,0,0,1,,,,0,61,110
3584,note_on,,,,,0,0,1,,,,0,64,111
3584,note_off,,,,,256,0,1,,,,0,61,0
3584,note_on,,,,,307,0,2,,,,1,57,96
3789,note_off,,,,,205,0,2,,,,1,57,0
3840,note_on,,,,,0,0,1,,,,0,69,112
3840,note_off,,,,,256,0,1,,,,0,64,0
4096,note_on,,,,,0,0,1,,,,0,63,113
4096,note_on,,,,,307,0,2,,,,1,48,98
4096,note_off,,,,,256,0,1,,,,0,69,0
4301,note_off,,,,,205,0,2,,,,1,48,0
4352,note_off,,,,,256,0,1,,,,0,63,0
4352,note_on,,,,,0,0,1,,,,0,60,116
4608,note_on,,,,,0,0,1,,,,0,63,116
4608,note_on,,,,,307,0,2,,,,1,57,101
4608,note_off,,,,,256,0,1,,,,0,60,0
4813,note_off,,,,,205,0,2,,,,1,57,0
4864,note_off,,,,,256,0,1,,,,0,63,0
4864,note_on,,,,,0,0,1,,,,0,69,118
5120,note_on,,,,,0,0,1,,,,0,63,119
5120,note_off,,,,,256,0,1,,,,0,69,0
5120,note_on,,,,,307,0,2,,,,1,48,104
5325,note_off,,,,,205,0,2,,,,1,48,0
5376,note_off,,,,,256,0,1,,,,0,63,0
5376,note_on,,,,,0,0,1,,,,0,60,120
5632,note_on,,,,,307,0,2,,,,1,56,106
5632,note_off,,,,,256,0,1,,,,0,60,0
5632,note_on,,,,,0,0,1,,,,0,63,121
5837,note_off,,,,,205,0,2,,,,1,56,0
5888,note_off,,,,,256,0,1,,,,0,63,0
5888,note_on,,,,,0,0,1,,,,0,68,122
6144,note_on,,,,,307,0,2,,,,1,49,109
6144,note_on,,,,,0,0,1,,,,0,68,124
6144,note_off,,,,,256,0,1,,,,0,68,0
6349,note_off,,,,,205,0,2,,,,1,49,0
6400,note_on,,,,,0,0,1,,,,0,64,125
6400,note_off,,,,,256,0,1,,,,0,68,0
6656,note_off,,,,,256,0,1,,,,0,64,0
6656,note_on,,,,,0,0,1,,,,0,68,127
6656,note_on,,,,,307,0,2,,,,1,56,112
6861,note_off,,,,,205,0,2,,,,1,56,0
6912,note_off,,,,,256,0,1,,,,0,68,0
6912,note_on,,,,,0,0,1,,,,0,76,127
7168,note_off,,,,,256,0,1,,,,0,76,0
7168,note_on,,,,,0,0,1,,,,0,68,127
7168,note_on,,,,,307,0,2,,,,1,52,115
7373,note_off,,,,,205,0,2,,,,1,52,0
7424,note_off,,,,,256,0,1,,,,0,68,0
7424,note_on,,,,,0,0,1,,,,0,64,127
7680,note_off,,,,,256,0,1,,,,0,64,0
7680,note_on,,,,,0,0,1,,,,0,68,127
