tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,15,10,97,,,
0,program_change,0,0,8,,,,,,,,47,15,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,,
0,control_change,0,0,7,,,,,,,,,6,10,77,,,
0,program_change,0,0,7,,,,,,,,56,6,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,,
0,control_change,0,0,6,,,,,,,,,5,10,28,,,
0,program_change,0,0,6,,,,,,,,60,5,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,,
0,control_change,0,0,5,,,,,,,,,4,10,24,,,
0,program_change,0,0,5,,,,,,,,60,4,,,,,
0,track_name,0,1,18,,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,3,10,80,,,
0,program_change,0,0,4,,,,,,,,70,3,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,10,65,,,
0,program_change,0,0,3,,,,,,,,71,2,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,72,,,
0,program_change,0,0,2,,,,,,,,68,1,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,52,,,
0,program_change,0,0,1,,,,,,,,73,0,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,,48,10,,,,,
0,midi_port,0,1,18,,,,,,,0,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,,
0,midi_port,0,1,17,,,,,,,0,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,,
0,control_change,0,0,13,,,,,,,,,14,10,127,,,
0,program_change,0,0,13,,,,,,,,48,14,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,,
0,control_change,0,0,9,,,,,,,,,10,10,12,,,
0,control_change,0,0,9,,,,,,,,,10,121,0,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,,48,11,,,,,
0,control_change,0,0,10,,,,,,,,,11,10,90,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,,
0,program_change,0,0,11,,,,,,,,48,12,,,,,
0,control_change,0,0,11,,,,,,,,,12,10,40,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,,
0,program_change,0,0,12,,,,,,,,48,13,,,,,
0,control_change,0,0,12,,,,,,,,,13,10,100,,,
0,track_name,0,1,11,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,
0,end_of_track,0,1,18,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,
1,control_change,1,0,10,,,,,,,,,11,121,0,,,
1,control_change,1,0,1,,,,,,,,,0,121,0,,,
2,control_change,2,0,2,,,,,,,,,1,121,0,,,
2,control_change,2,0,7,,,,,,,,,6,121,0,,,
3,control_change,3,0,3,,,,,,,,,2,121,0,,,
3,control_change,3,0,5,,,,,,,,,4,121,0,,,
4,control_change,4,0,11,,,,,,,,,12,121,0,,,
5,control_change,5,0,6,,,,,,,,,5,121,0,,,
5,program_change,5,0,9,,,,,,,,48,10,,,,,
6,program_change,5,0,10,,,,,,,,48,11,,,,,
6,program_change,5,0,1,,,,,,,,73,0,,,,,
7,program_change,5,0,7,,,,,,,,56,6,,,,,
7,control_change,7,0,4,,,,,,,,,3,121,0,,,
7,program_change,5,0,2,,,,,,,,68,1,,,,,
8,program_change,5,0,5,,,,,,,,60,4,,,,,
8,control_change,8,0,12,,,,,,,,,13,121,0,,,
8,program_change,5,0,3,,,,,,,,71,2,,,,,
9,program_change,5,0,11,,,,,,,,48,12,,,,,
10,pitchwheel,5,0,9,,,,,,,,,10,,,300,,
10,control_change,10,0,13,,,,,,,,,14,121,0,,,
10,program_change,5,0,6,,,,,,,,60,5,,,,,
11,pitchwheel,5,0,10,,,,,,,,,11,,,-300,,
11,control_change,11,0,8,,,,,,,,,15,121,0,,,
11,pitchwheel,5,0,1,,,,,,,,,0,,,0,,
12,pitchwheel,5,0,7,,,,,,,,,6,,,0,,
12,program_change,5,0,4,,,,,,,,70,3,,,,,
12,pitchwheel,5,0,2,,,,,,,,,1,,,0,,
13,pitchwheel,5,0,3,,,,,,,,,2,,,0,,
13,pitchwheel,5,0,5,,,,,,,,,4,,,100,,
13,program_change,5,0,12,,,,,,,,48,13,,,,,
14,pitchwheel,5,0,11,,,,,,,,,12,,,300,,
15,control_change,5,0,9,,,,,,,,,10,11,46,,,
15,program_change,5,0,13,,,,,,,,48,14,,,,,
15,pitchwheel,5,0,6,,,,,,,,,5,,,-100,,
16,control_change,5,0,1,,,,,,,,,0,11,46,,,
16,program_change,5,0,8,,,,,,,,47,15,,,,,
16,control_change,5,0,10,,,,,,,,,11,11,46,,,
17,pitchwheel,5,0,4,,,,,,,,,3,,,0,,
17,control_change,5,0,2,,,,,,,,,1,11,46,,,
17,control_change,5,0,7,,,,,,,,,6,11,46,,,
18,control_change,5,0,3,,,,,,,,,2,11,46,,,
18,control_change,5,0,5,,,,,,,,,4,11,46,,,
18,pitchwheel,5,0,12,,,,,,,,,13,,,-300,,
19,control_change,5,0,11,,,,,,,,,12,11,46,,,
20,control_change,5,0,6,,,,,,,,,5,11,46,,,
20,control_change,5,0,9,,,,,,,,,10,7,127,,,
20,pitchwheel,5,0,13,,,,,,,,,14,,,300,,
21,control_change,5,0,10,,,,,,,,,11,7,127,,,
21,pitchwheel,5,0,8,,,,,,,,,15,,,0,,
21,control_change,5,0,1,,,,,,,,,0,7,127,,,
22,control_change,5,0,2,,,,,,,,,1,7,127,,,
22,control_change,5,0,4,,,,,,,,,3,11,46,,,
22,control_change,5,0,7,,,,,,,,,6,7,127,,,
23,control_change,5,0,3,,,,,,,,,2,7,127,,,
23,control_change,5,0,5,,,,,,,,,4,7,127,,,
23,control_change,5,0,12,,,,,,,,,13,11,46,,,
24,control_change,5,0,11,,,,,,,,,12,7,127,,,
25,control_change,5,0,13,,,,,,,,,14,11,46,,,
25,control_change,5,0,9,,,,,,,,,10,91,64,,,
25,control_change,5,0,6,,,,,,,,,5,7,127,,,
26,control_change,5,0,8,,,,,,,,,15,11,127,,,
26,control_change,5,0,1,,,,,,,,,0,91,72,,,
26,control_change,5,0,10,,,,,,,,,11,91,64,,,
27,control_change,5,0,2,,,,,,,,,1,91,72,,,
27,control_change,5,0,4,,,,,,,,,3,7,127,,,
27,control_change,5,0,7,,,,,,,,,6,91,106,,,
28,control_change,5,0,12,,,,,,,,,13,7,127,,,
28,control_change,5,0,3,,,,,,,,,2,91,72,,,
28,control_change,5,0,5,,,,,,,,,4,91,106,,,
29,control_change,5,0,11,,,,,,,,,12,91,42,,,
30,control_change,5,0,6,,,,,,,,,5,91,106,,,
30,control_change,5,0,13,,,,,,,,,14,7,127,,,
30,control_change,5,0,9,,,,,,,,,10,93,0,,,
31,control_change,5,0,1,,,,,,,,,0,93,0,,,
31,control_change,5,0,8,,,,,,,,,15,7,127,,,
31,control_change,5,0,10,,,,,,,,,11,93,0,,,
32,control_change,5,0,2,,,,,,,,,1,93,0,,,
32,control_change,5,0,7,,,,,,,,,6,93,0,,,
32,control_change,5,0,4,,,,,,,,,3,91,89,,,
33,control_change,5,0,3,,,,,,,,,2,93,0,,,
33,control_change,5,0,5,,,,,,,,,4,93,0,,,
33,control_change,5,0,12,,,,,,,,,13,91,68,,,
34,control_change,5,0,11,,,,,,,,,12,93,0,,,
35,control_change,5,0,6,,,,,,,,,5,93,0,,,
35,control_change,5,0,13,,,,,,,,,14,91,93,,,
36,control_change,5,0,8,,,,,,,,,15,91,119,,,
37,control_change,5,0,4,,,,,,,,,3,93,0,,,
38,control_change,5,0,12,,,,,,,,,13,93,0,,,
40,control_change,5,0,13,,,,,,,,,14,93,0,,,
41,control_change,5,0,8,,,,,,,,,15,93,0,,,
240,marker,0,1,0,,,,,,,,,,,,,,
240,set_tempo,240,1,0,,,,,,545455,,,,,,,,
240,note_on,210,0,9,,,,,,,,,10,,,,79,112
241,note_on,210,0,10,,,,,,,,,11,,,,64,97
244,note_on,210,0,11,,,,,,,,,12,,,,60,97
248,note_on,210,0,12,,,,,,,,,13,,,,48,97
250,note_on,210,0,13,,,,,,,,,14,,,,36,97
271,note_on,30,0,10,,,,,,,,,11,,,,64,0
274,note_on,30,0,11,,,,,,,,,12,,,,60,0
300,note_on,60,0,9,,,,,,,,,10,,,,79,0
301,note_on,30,0,10,,,,,,,,,11,,,,55,97
304,note_on,30,0,11,,,,,,,,,12,,,,55,97
308,note_on,60,0,12,,,,,,,,,13,,,,48,0
310,note_on,60,0,13,,,,,,,,,14,,,,36,0
331,note_on,30,0,10,,,,,,,,,11,,,,55,0
334,note_on,30,0,11,,,,,,,,,12,,,,55,0
360,set_tempo,120,1,0,,,,,,470588,,,,,,,,
360,control_change,60,0,9,,,,,,,,,10,11,59,,,
360,note_on,0,0,9,,,,,,,,,10,,,,79,112
361,note_on,30,0,10,,,,,,,,,11,,,,64,97
364,note_on,30,0,11,,,,,,,,,12,,,,60,97
368,note_on,60,0,12,,,,,,,,,13,,,,48,97
370,note_on,60,0,13,,,,,,,,,14,,,,36,97
372,control_change,12,0,9,,,,,,,,,10,11,56,,,
390,control_change,18,0,9,,,,,,,,,10,11,52,,,
391,note_on,30,0,10,,,,,,,,,11,,,,64,0
394,note_on,30,0,11,,,,,,,,,12,,,,60,0
408,control_change,18,0,9,,,,,,,,,10,11,48,,,
420,note_on,12,0,9,,,,,,,,,10,,,,79,0
421,note_on,30,0,10,,,,,,,,,11,,,,55,97
424,note_on,30,0,11,,,,,,,,,12,,,,55,97
428,note_on,60,0,12,,,,,,,,,13,,,,48,0
430,note_on,60,0,13,,,,,,,,,14,,,,36,0
451,note_on,30,0,10,,,,,,,,,11,,,,55,0
454,note_on,30,0,11,,,,,,,,,12,,,,55,0
480,set_tempo,120,1,0,,,,,,510638,,,,,,,,
480,note_on,0,0,9,,,,,,,,,10,,,,79,112
480,control_change,60,0,9,,,,,,,,,10,11,59,,,
481,note_on,30,0,10,,,,,,,,,11,,,,62,97
484,note_on,30,0,11,,,,,,,,,12,,,,59,97
488,note_on,60,0,12,,,,,,,,,13,,,,43,97
490,note_on,60,0,13,,,,,,,,,14,,,,31,97
492,control_change,12,0,9,,,,,,,,,10,11,56,,,
510,note_on,18,0,9,,,,,,,,,10,,,,79,0
510,note_on,0,0,9,,,,,,,,,10,,,,81,112
510,control_change,0,0,9,,,,,,,,,10,11,52,,,
511,note_on,30,0,10,,,,,,,,,11,,,,62,0
514,note_on,30,0,11,,,,,,,,,12,,,,59,0
528,control_change,18,0,9,,,,,,,,,10,11,48,,,
540,note_on,0,0,9,,,,,,,,,10,,,,79,112
540,note_on,12,0,9,,,,,,,,,10,,,,81,0
541,note_on,30,0,10,,,,,,,,,11,,,,55,97
544,note_on,30,0,11,,,,,,,,,12,,,,55,97
570,note_on,0,0,9,,,,,,,,,10,,,,78,112
570,note_on,30,0,9,,,,,,,,,10,,,,79,0
571,note_on,30,0,10,,,,,,,,,11,,,,55,0
574,note_on,30,0,11,,,,,,,,,12,,,,55,0
600,note_on,0,0,9,,,,,,,,,10,,,,79,112
600,set_tempo,120,1,0,,,,,,470588,,,,,,,,
600,note_on,30,0,9,,,,,,,,,10,,,,78,0
601,note_on,30,0,10,,,,,,,,,11,,,,62,97
604,note_on,30,0,11,,,,,,,,,12,,,,59,97
608,note_on,120,0,12,,,,,,,,,13,,,,43,0
610,note_on,120,0,13,,,,,,,,,14,,,,31,0
631,note_on,30,0,10,,,,,,,,,11,,,,62,0
634,note_on,30,0,11,,,,,,,,,12,,,,59,0
660,note_on,60,0,9,,,,,,,,,10,,,,79,0
660,note_on,0,0,9,,,,,,,,,10,,,,77,112
661,note_on,30,0,10,,,,,,,,,11,,,,55,97
664,note_on,30,0,11,,,,,,,,,12,,,,55,97
690,note_on,30,0,9,,,,,,,,,10,,,,77,0
691,note_on,30,0,10,,,,,,,,,11,,,,55,0
694,note_on,30,0,11,,,,,,,,,12,,,,55,0
720,set_tempo,120,1,0,,,,,,510638,,,,,,,,
720,note_on,30,0,9,,,,,,,,,10,,,,76,112
721,note_on,30,0,10,,,,,,,,,11,,,,64,97
724,note_on,30,0,11,,,,,,,,,12,,,,60,97
728,note_on,120,0,12,,,,,,,,,13,,,,48,97
730,note_on,120,0,13,,,,,,,,,14,,,,36,97
750,note_on,30,0,9,,,,,,,,,10,,,,76,0
751,note_on,30,0,10,,,,,,,,,11,,,,64,0
754,note_on,30,0,11,,,,,,,,,12,,,,60,0
780,note_on,30,0,9,,,,,,,,,10,,,,76,112
781,note_on,30,0,10,,,,,,,,,11,,,,55,97
784,note_on,30,0,11,,,,,,,,,12,,,,55,97
788,note_on,60,0,12,,,,,,,,,13,,,,48,0
790,note_on,60,0,13,,,,,,,,,14,,,,36,0
810,note_on,30,0,9,,,,,,,,,10,,,,76,0
811,note_on,30,0,10,,,,,,,,,11,,,,55,0
814,note_on,30,0,11,,,,,,,,,12,,,,55,0
840,set_tempo,120,1,0,,,,,,470588,,,,,,,,
840,note_on,30,0,9,,,,,,,,,10,,,,81,112
841,note_on,0,0,10,,,,,,,,,11,,,,60,97
841,note_on,30,0,10,,,,,,,,,11,,,,63,97
844,note_on,30,0,11,,,,,,,,,12,,,,66,97
848,note_on,60,0,12,,,,,,,,,13,,,,48,97
850,note_on,60,0,13,,,,,,,,,14,,,,36,97
870,note_on,30,0,9,,,,,,,,,10,,,,81,0
871,note_on,0,0,10,,,,,,,,,11,,,,63,0
871,note_on,30,0,10,,,,,,,,,11,,,,60,0
874,note_on,30,0,11,,,,,,,,,12,,,,66,0
900,note_on,30,0,9,,,,,,,,,10,,,,81,112
901,note_on,30,0,10,,,,,,,,,11,,,,55,97
904,note_on,30,0,11,,,,,,,,,12,,,,55,97
908,note_on,60,0,12,,,,,,,,,13,,,,48,0
910,note_on,60,0,13,,,,,,,,,14,,,,36,0
930,note_on,30,0,9,,,,,,,,,10,,,,81,0
931,note_on,30,0,10,,,,,,,,,11,,,,55,0
934,note_on,30,0,11,,,,,,,,,12,,,,55,0
960,set_tempo,120,1,0,,,,,,510638,,,,,,,,
960,note_on,30,0,9,,,,,,,,,10,,,,74,112
961,note_on,30,0,10,,,,,,,,,11,,,,59,97
961,note_on,0,0,10,,,,,,,,,11,,,,62,97
964,note_on,30,0,11,,,,,,,,,12,,,,67,97
968,note_on,60,0,12,,,,,,,,,13,,,,55,97
970,note_on,60,0,13,,,,,,,,,14,,,,43,97
975,note_on,15,0,9,,,,,,,,,10,,,,74,0
990,note_on,15,0,9,,,,,,,,,10,,,,67,112
991,note_on,0,0,10,,,,,,,,,11,,,,59,0
991,note_on,30,0,10,,,,,,,,,11,,,,62,0
994,note_on,30,0,11,,,,,,,,,12,,,,67,0
1005,note_on,15,0,9,,,,,,,,,10,,,,67,0
1020,note_on,15,0,9,,,,,,,,,10,,,,69,112
1021,note_on,30,0,10,,,,,,,,,11,,,,55,97
1024,note_on,30,0,11,,,,,,,,,12,,,,55,97
1035,note_on,15,0,9,,,,,,,,,10,,,,69,0
1050,note_on,15,0,9,,,,,,,,,10,,,,71,112
1051,note_on,30,0,10,,,,,,,,,11,,,,55,0
1054,note_on,30,0,11,,,,,,,,,12,,,,55,0
1065,note_on,15,0,9,,,,,,,,,10,,,,71,0
1080,set_tempo,120,1,0,,,,,,470588,,,,,,,,
1080,note_on,15,0,9,,,,,,,,,10,,,,72,112
1081,note_on,30,0,10,,,,,,,,,11,,,,62,97
1081,note_on,0,0,10,,,,,,,,,11,,,,59,97
1084,note_on,30,0,11,,,,,,,,,12,,,,67,97
1088,note_on,120,0,12,,,,,,,,,13,,,,55,0
1090,note_on,120,0,13,,,,,,,,,14,,,,43,0
1095,note_on,15,0,9,,,,,,,,,10,,,,72,0
1110,note_on,15,0,9,,,,,,,,,10,,,,74,112
1111,note_on,0,0,10,,,,,,,,,11,,,,62,0
1111,note_on,30,0,10,,,,,,,,,11,,,,59,0
1114,note_on,30,0,11,,,,,,,,,12,,,,67,0
1125,note_on,15,0,9,,,,,,,,,10,,,,74,0
1140,note_on,15,0,9,,,,,,,,,10,,,,76,112
1141,note_on,30,0,10,,,,,,,,,11,,,,55,97
1155,note_on,15,0,9,,,,,,,,,10,,,,76,0
1170,note_on,15,0,9,,,,,,,,,10,,,,77,112
1171,note_on,30,0,10,,,,,,,,,11,,,,55,0
1185,note_on,15,0,9,,,,,,,,,10,,,,77,0
1200,note_on,0,0,9,,,,,,,,,10,,,,79,112
1200,set_tempo,120,1,0,,,,,,510638,,,,,,,,
1200,control_change,15,0,9,,,,,,,,,10,11,59,,,
1201,note_on,30,0,10,,,,,,,,,11,,,,64,97
1204,note_on,90,0,11,,,,,,,,,12,,,,60,97
1208,note_on,120,0,12,,,,,,,,,13,,,,48,97
1210,note_on,120,0,13,,,,,,,,,14,,,,36,97
1212,control_change,12,0,9,,,,,,,,,10,11,56,,,
1230,control_change,18,0,9,,,,,,,,,10,11,52,,,
1231,note_on,30,0,10,,,,,,,,,11,,,,64,0
1234,note_on,30,0,11,,,,,,,,,12,,,,60,0
1248,control_change,18,0,9,,,,,,,,,10,11,48,,,
1260,note_on,12,0,9,,,,,,,,,10,,,,79,0
1261,note_on,30,0,10,,,,,,,,,11,,,,55,97
1264,note_on,30,0,11,,,,,,,,,12,,,,55,97
1268,note_on,60,0,12,,,,,,,,,13,,,,48,0
1270,note_on,60,0,13,,,,,,,,,14,,,,36,0
1291,note_on,30,0,10,,,,,,,,,11,,,,55,0
1294,note_on,30,0,11,,,,,,,,,12,,,,55,0
1320,control_change,60,0,9,,,,,,,,,10,11,59,,,
1320,note_on,0,0,9,,,,,,,,,10,,,,79,112
1320,set_tempo,120,1,0,,,,,,470588,,,,,,,,
1321,note_on,30,0,10,,,,,,,,,11,,,,64,97
1324,note_on,30,0,11,,,,,,,,,12,,,,60,97
1328,note_on,60,0,12,,,,,,,,,13,,,,48,97
1330,note_on,60,0,13,,,,,,,,,14,,,,36,97
1332,control_change,12,0,9,,,,,,,,,10,11,56,,,
1350,control_change,18,0,9,,,,,,,,,10,11,52,,,
1351,note_on,30,0,10,,,,,,,,,11,,,,64,0
1354,note_on,30,0,11,,,,,,,,,12,,,,60,0
1368,control_change,18,0,9,,,,,,,,,10,11,48,,,
1380,note_on,12,0,9,,,,,,,,,10,,,,79,0
1381,note_on,30,0,10,,,,,,,,,11,,,,55,97
1384,note_on,30,0,11,,,,,,,,,12,,,,55,97
1388,note_on,60,0,12,,,,,,,,,13,,,,48,0
1390,note_on,60,0,13,,,,,,,,,14,,,,36,0
1411,note_on,30,0,10,,,,,,,,,11,,,,55,0
1414,note_on,30,0,11,,,,,,,,,12,,,,55,0
1440,set_tempo,120,1,0,,,,,,510638,,,,,,,,
1440,note_on,0,0,9,,,,,,,,,10,,,,79,112
1440,control_change,60,0,9,,,,,,,,,10,11,59,,,
1441,note_on,30,0,10,,,,,,,,,11,,,,62,97
1444,note_on,30,0,11,,,,,,,,,12,,,,59,97
1448,note_on,60,0,12,,,,,,,,,13,,,,55,97
1450,note_on,60,0,13,,,,,,,,,14,,,,43,97
1452,control_change,12,0,9,,,,,,,,,10,11,56,,,
1470,note_on,0,0,9,,,,,,,,,10,,,,81,112
1470,control_change,0,0,9,,,,,,,,,10,11,52,,,
1470,note_on,18,0,9,,,,,,,,,10,,,,79,0
1471,note_on,30,0,10,,,,,,,,,11,,,,62,0
1474,note_on,30,0,11,,,,,,,,,12,,,,59,0
1488,control_change,18,0,9,,,,,,,,,10,11,48,,,
1500,note_on,0,0,9,,,,,,,,,10,,,,79,112
1500,note_on,12,0,9,,,,,,,,,10,,,,81,0
1501,note_on,30,0,10,,,,,,,,,11,,,,55,97
1504,note_on,30,0,11,,,,,,,,,12,,,,55,97
1530,note_on,0,0,9,,,,,,,,,10,,,,78,112
1530,note_on,30,0,9,,,,,,,,,10,,,,79,0
1531,note_on,30,0,10,,,,,,,,,11,,,,55,0
1534,note_on,30,0,11,,,,,,,,,12,,,,55,0
1560,set_tempo,120,1,0,,,,,,470588,,,,,,,,
